station,lat,lon,dist_m,path_length_diff_m,direct_path_length,diffracted_path_length,sta_lta_amp,peak_freq,pre_shot_rms,arr_time
4001,46.166599,-122.189499,32337.311018446428,0.9533963726389629,32329.472648758376,32330.426045131015,3.913311841691216,13.0615234375,2.0823920591838678e-07,97.16799999999999
4003,46.1665,-122.183998,31916.91733393259,1.4060031675508071,31908.662520980626,31910.068524148177,1.8150669766858305,13.671875,6.24957305239015e-07,92.89599999999999
4004,46.1646,-122.182297,31813.069521235553,1.6292749551284942,31804.217490686064,31805.846765641192,2.383835334454287,13.519287109375,1.9100684429104108e-07,91.88
4005,46.162701,-122.182198,31833.3950532216,1.9105779347810312,31824.16036477059,31826.07094270537,2.294946977842117,13.671875,1.2524571026766192e-07,91.92
4006,46.1609,-122.180397,31723.433890014425,5.229091531102313,31713.548560458934,31718.777651990036,3.606375483034582,36.19384765625,2.2404502729654775e-07,93.016
4007,46.159698,-122.178101,31567.28851825516,3.6099013610764814,31557.461505939275,31561.07140730035,2.461170835041027,16.448974609375,3.728455278150417e-07,95.648
4009,46.1586,-122.173203,31211.530459926144,6.931922638385004,31201.629688487134,31208.56161112552,1.8164603387912388,36.163330078125,5.64799432559565e-07,93.272
4010,46.157501,-122.170502,31024.365525548823,3.7794452615526097,31014.5495424352,31018.328987696754,1.782934212423803,12.298583984375,8.598783040519258e-08,93.24
4012,46.157501,-122.1642,30543.74640299656,4.509880074165267,30534.059701537564,30538.56958161173,1.9544972080658023,14.46533203125,6.690970909956709e-08,88.11999999999999
4013,46.1567,-122.1623,30413.309068698476,5.2043841641861945,30403.61951782177,30408.823901985957,2.3215816533548224,43.0908203125,3.003696792032816e-07,90.944
4014,46.155102,-122.1614,30374.332613254417,3.785772171919234,30364.616279568036,30368.402051739955,2.497826538648661,38.02490234375,2.1897254047237776e-07,90.31200000000001
4015,46.153702,-122.158302,30165.48314191286,4.829320570774144,30155.81112320308,30160.640443773853,1.9777157719659886,11.65771484375,3.194235737881821e-07,86.312
4016,46.1549,-122.154404,29845.754224382898,4.98836529167238,29836.203324708848,29841.19169000052,4.5203815788140815,23.8037109375,6.185714730600162e-07,86.92
4017,46.1567,-122.152802,29689.746893095435,3.7123409031919437,29680.286866492344,29683.999207395536,2.3510871240915123,5.9814453125,1.2383785698898517e-07,89.208
4018,46.158798,-122.151497,29552.11221025235,3.356892114821676,29542.717166252933,29546.074058367754,2.535184915053125,11.8408203125,1.0692775497282741e-07,85.168
4019,46.161499,-122.149498,29352.865119009737,2.9725755894032773,29343.580915414364,29346.553491003768,2.1792709368755614,44.25048828125,1.2400571643828852e-07,87.06400000000001
4020,46.163799,-122.147697,29177.666128512516,2.5461348249918956,29168.570001628756,29171.116136453747,1.9712561110399327,8.544921875,7.336289269319024e-08,86.71199999999999
4021,46.165501,-122.147797,29158.832796903724,2.109357960522175,29150.07289403463,29152.182251995153,2.389156630158052,7.2021484375,1.0125085012924447e-07,84.736
4022,46.1665,-122.145599,28975.617001636445,1.8945820073713548,28967.07147591965,28968.96605792702,2.3151004420466146,12.14599609375,7.474131279413815e-08,86.28800000000001
4023,46.167702,-122.144096,28842.948064262277,1.7314059522759635,28834.396522274576,28836.12792822685,1.9311446272348949,7.2021484375,1.0864097274830912e-07,84.44
4024,46.1698,-122.145599,28928.829591031088,1.3233991885790601,28920.373412879308,28921.696812067887,1.984402280025814,46.81396484375,1.2039632064902257e-07,84.072
4025,46.171101,-122.147797,29080.2339061136,1.0826761472053477,29071.807023620295,29072.8896997675,2.2110022910377936,17.08984375,6.031253965006605e-08,87.99199999999999
4026,46.1721,-122.149101,29167.65855135892,0.9578795553607051,29159.107328171875,29160.065207727235,2.315053235017398,23.681640625,9.299386677196985e-08,86.264
4027,46.173401,-122.148598,29113.25381788605,0.7912917809189821,29104.76978099047,29105.56107277139,2.6679760477605474,14.58740234375,1.0796373132872869e-07,83.696
4028,46.1749,-122.148003,29050.21526644097,0.608366772714362,29041.8882913385,29042.496658111213,2.206110664617345,22.918701171875,7.627391078361878e-08,85.56
4029,46.176102,-122.147797,29021.149676167246,0.4826149684486154,29012.92927108105,29013.4118860495,1.872289047816825,23.49853515625,1.8190483509303262e-07,83.44
4030,46.177601,-122.146103,28875.23579151371,0.341567773011775,28867.295104156445,28867.636671929456,2.148582480592867,23.468017578125,4.402936598415181e-07,86.19200000000001
4032,46.181801,-122.1464,28859.124383545277,0.1047031490234076,28851.57536321434,28851.680066363362,2.1849071697110602,33.203125,9.333084247294282e-07,84.44800000000001
4033,46.183601,-122.147499,28929.38075312106,0.08030631393557996,28921.910333554148,28921.990639868083,2.5141467673284303,9.70458984375,2.5210868441499097e-07,85.888
4034,46.1852,-122.147903,28948.91350400631,0.0919025059811247,28941.41472403279,28941.506626538772,1.9016027311209036,18.6767578125,1.6207916008489634e-07,83.57600000000001
4035,46.186699,-122.146698,28846.15890616568,0.11532291462935973,28838.733141994802,28838.84846490943,2.4867814893289957,29.205322265625,5.627161231428664e-07,82.896
4036,46.188301,-122.1465,28821.369237958726,0.11504520524977124,28814.13987367227,28814.25491887752,2.275074667190143,16.143798828125,9.808613854252895e-07,83.824
4037,46.189499,-122.146301,28799.614746782558,0.1276222172418784,28792.34562209101,28792.47324430825,2.881889829380457,17.822265625,2.526606049607628e-07,83.896
4038,46.190399,-122.144997,28694.628034306214,0.14131107824505307,28687.208750490696,28687.35006156894,2.234018219856551,14.007568359375,1.6573927614717475e-07,82.184
