station,lat,lon,dist_m,path_length_diff_m,sta_lta_amp,pre_shot_rms
4001,46.166599,-122.189499,35327.65347402748,38.499507582426304,2.3131292653072855,1.503421646510522e-07
4003,46.1665,-122.183998,35685.24135844378,61.529301700640644,2.0003227323049573,1.479812856543352e-07
4004,46.1646,-122.182297,35912.41703067151,59.40006840394199,3.126875587005497,1.606125621899787e-07
4005,46.162701,-122.182198,36037.71572261526,53.99429018775845,2.8745307416893966,2.2056867986760825e-07
4006,46.1609,-122.180397,36265.766141752945,72.71185733837774,3.080275743985141,2.3635739692785128e-07
4007,46.159698,-122.178101,36487.609290331624,58.18768335139612,2.3375265497288273,6.035163109403364e-07
4009,46.1586,-122.173203,36868.500735930764,68.77465075447253,1.9894756628401844,1.1895911268425238e-06
4010,46.157501,-122.170502,37109.657258575004,62.923015104825026,1.9053359700870753,2.0637813623898035e-07
4012,46.157501,-122.1642,37512.302638304056,78.8971322299476,1.9830533253531772,1.9058046113528882e-07
4013,46.1567,-122.1623,37683.76521631397,80.14265558402985,3.4977158998614826,2.9422507118051397e-07
4014,46.155102,-122.1614,37840.83516799222,73.04643564692378,2.884888297452266,2.3940472034097656e-07
4015,46.153702,-122.158302,38126.24169515517,74.13635027839337,2.772914371523596,3.3545107417719054e-07
4016,46.1549,-122.154404,38301.77155898427,92.44403782727022,1.9541332088908234,4.4479843895344645e-07
4018,46.158798,-122.151497,38251.09162887718,121.84044354945217,3.0674879306983427,1.5634084175719477e-07
4019,46.161499,-122.149498,38218.57377449221,154.14600630701898,2.3640279389615637,1.8227952053057397e-07
4020,46.163799,-122.147697,38199.66815781816,173.15362331902725,2.7294224691695845,1.4070086638613215e-07
4021,46.165501,-122.147797,38093.02828870776,173.88298731129908,2.4839104777032253,1.588914358243767e-07
4022,46.1665,-122.145599,38179.15342074967,186.66046534750058,2.744449812813903,1.2741788128310742e-07
4023,46.167702,-122.144096,38208.56449981869,206.77053893630364,2.3161080566024115,1.3092223221766572e-07
4024,46.1698,-122.145599,37988.51731060319,228.86981553239457,2.466128507630315,1.560496199519808e-07
4025,46.171101,-122.147797,37768.509296281576,238.7648337489445,2.0736690261066255,9.40264596317835e-08
4026,46.1721,-122.149101,37625.01120719844,254.17723060600838,1.893532757970989,1.588489011316098e-07
4027,46.173401,-122.148598,37584.216995546114,259.5718804277858,3.190685440199254,1.4562400138103876e-07
4028,46.1749,-122.148003,37538.925787745036,257.774327294901,3.7985277858571216,1.4601808959467185e-07
4029,46.176102,-122.147797,37485.06485188127,264.72046134457923,9.457269614976632,9.56496198274506e-07
4030,46.177601,-122.146103,37514.5486912873,244.9034994495305,4.4045244695469075,1.805614710789577e-07
4031,46.179298,-122.147202,37346.99851297646,242.5144090745307,2.304964336881483,1.9499548144221462e-07
4032,46.181801,-122.1464,37263.5218302247,222.84522925798228,2.751817970044772,2.961232885428155e-07
4033,46.183601,-122.147499,37091.68987498519,248.13911080513935,2.1681084071089147,2.7899844999334056e-07
4034,46.1852,-122.147903,36978.10846548475,276.21743259260984,2.171268167081094,8.991098702624782e-07
4035,46.186699,-122.146698,36979.367359708456,267.9765140728341,2.8866019419306137,1.6059100984057448e-06
4036,46.188301,-122.1465,36907.76492487618,261.28482996072853,2.0719772660020936,4.2509573770305244e-07
4037,46.189499,-122.146301,36858.1595494451,265.1931243874569,2.721198588049154,3.9627927606098126e-07
4038,46.190399,-122.144997,36899.843167624094,260.7194422571265,3.5093870438459245,2.101209977041256e-07
4039,46.191002,-122.143501,36970.529757358934,242.76347947424074,2.8309240158649485,1.6160999879312986e-07
4040,46.192001,-122.142502,36987.155794708466,224.25686623267393,2.33391968061988,4.0614706733124554e-07
4041,46.192501,-122.140099,37126.0125425332,212.38469576862553,2.176089666866867,1.049256895561169e-07
4042,46.192799,-122.137199,37309.73870486849,201.0794534200104,2.74693885472407,1.4829692645151702e-07
