station,lat,lon,dist_m,path_length_diff_m,direct_path_length,diffracted_path_length,sta_lta_amp,peak_freq,pre_shot_rms,arr_time
4001,46.166599,-122.189499,44537.545506632494,15.46372634411091,44524.97496183452,44540.438688178634,6.745029166342481,40.191650390625,1.8027893326327575e-07,136.48000000000002
4003,46.1665,-122.183998,44156.50366462812,16.335050981528184,44143.70623437026,44160.041285351785,3.1223729483945832,12.115478515625,1.0873622775437663e-07,136.712
4004,46.1646,-122.182297,43941.76932479997,16.86881837197143,43928.655494150444,43945.524312522415,2.64378315852115,11.505126953125,1.4335335798795186e-07,132.856
4005,46.162701,-122.182198,43837.16157826673,17.09812597459677,43823.8601888432,43840.9583148178,2.3757308979119154,18.890380859375,1.6207892868754465e-07,127.47200000000001
4006,46.1609,-122.180397,43621.49930959034,18.50277391873533,43607.897030475135,43626.39980439387,4.786159053370886,47.7294921875,1.9968619462146963e-07,130.464
4007,46.159698,-122.178101,43402.6180484694,18.427364697650773,43389.09271110687,43407.52007580452,2.688609836693405,17.181396484375,6.466718843347184e-07,130.272
4009,46.1586,-122.173203,43010.50178935309,19.28431359735987,42997.03041832506,43016.31473192242,2.009043399556169,38.787841796875,1.4395320998244943e-06,124.92
4010,46.157501,-122.170502,42769.06222810379,19.039830826601246,42755.68177772414,42774.72160855074,2.0734750737552354,8.11767578125,2.001229617490956e-07,129.064
4012,46.157501,-122.1642,42337.378097648885,19.584694746481546,42324.13871402823,42343.72340877471,2.2010523995993525,14.434814453125,1.4988872747926208e-07,125.63999999999999
4013,46.1567,-122.1623,42166.05283154337,19.849927074646985,42152.860563726106,42172.71049080075,2.651793597952989,45.074462890625,2.133969996320355e-07,129.968
4014,46.155102,-122.1614,42022.18996735252,19.95906540422584,42009.04229698048,42029.001362384704,2.79649160571168,10.25390625,1.7069233778622e-07,121.53599999999999
4015,46.153702,-122.158302,41738.0713662607,20.573635414206365,41725.03491361871,41745.60854903291,2.391332349690721,11.90185546875,2.8585788056355853e-07,129.032
4016,46.1549,-122.154404,41533.09796664719,21.874868973507546,41520.129455726725,41542.00432470023,3.0340893996746257,22.979736328125,4.1749556618378564e-07,123.424
4018,46.158798,-122.151497,41539.57696662171,21.056721925458987,41526.61245036425,41547.66917228971,3.44135147789058,8.026123046875,9.567827066973604e-08,119.488
4019,46.161499,-122.149498,41548.48170565214,21.415467766353686,41535.52978695917,41556.94525472552,2.8173861117901176,7.171630859375,9.536463734565891e-08,120.232
4020,46.163799,-122.147697,41551.58777852221,21.391702607688785,41538.685465225346,41560.077167833035,3.5362348368478713,10.833740234375,6.909957995288345e-08,123.376
4021,46.165501,-122.147797,41651.39657526489,20.623545430833474,41638.61920585101,41659.24275128185,3.0669534560186174,10.711669921875,8.727587363754464e-08,126.704
4022,46.1665,-122.145599,41558.9913666185,20.542698335077148,41546.320976566196,41566.86367490127,3.3913271660002478,10.3759765625,6.087532080609852e-08,127.4
