station,lat,lon,dist_m,path_length_diff_m,sta_lta_amp,peak_freq,pre_shot_rms
4001,46.166599,-122.189499,78060.67009027714,66.52666765217145,3.710673658939035,43.975830078125,1.0687599993841134e-06
4003,46.1665,-122.183998,77804.98018285033,51.51801361434627,2.717621105828776,41.9921875,5.906774563706927e-07
4004,46.1646,-122.182297,77889.45039786215,45.05386147860554,2.6528849687795075,40.83251953125,6.007769284591127e-07
4005,46.162701,-122.182198,78050.7755968749,39.36402149965579,2.9614097557136403,44.37255859375,1.4038289765341253e-06
4006,46.1609,-122.180397,78122.91631525708,47.07616236171452,3.6912296382801397,42.6025390625,1.4224108854305235e-06
4007,46.159698,-122.178101,78119.6880708052,34.846450989556615,2.7718492836535353,16.876220703125,5.356100110851748e-07
4009,46.1586,-122.173203,77985.4791298119,34.13108303667104,5.84520996456043,43.0908203125,4.917068733339017e-06
4010,46.157501,-122.170502,77955.85501038449,23.023310179123655,5.293762292177772,6.378173828125,2.6198718250906116e-07
4012,46.157501,-122.1642,77661.81054965458,19.03294009093952,2.5138555032466936,16.632080078125,3.2255598036908166e-07
4013,46.1567,-122.1623,77644.71879343687,20.806026273567113,6.295099623538023,42.083740234375,4.046276884099119e-06
4014,46.155102,-122.1614,77745.20239112606,22.33846936606278,7.874146943009791,34.7900390625,2.292909791925782e-06
4015,46.153702,-122.158302,77727.08867553379,17.900695125819766,2.7656620170662065,37.384033203125,1.0659745436592603e-06
4016,46.1549,-122.154404,77440.90830672196,14.47136027412489,3.5490266535423096,33.477783203125,6.664878132790645e-06
4017,46.1567,-122.152802,77206.45264019391,13.083318405086175,5.646830112271103,42.236328125,2.3403408854322462e-06
4018,46.158798,-122.151497,76959.02094821353,13.388935290742666,2.4004294004157427,11.29150390625,3.5172803101148814e-07
4019,46.161499,-122.149498,76625.86890863861,14.942650424156454,3.0583564083193524,36.651611328125,1.0587954871535363e-06
4020,46.163799,-122.147697,76337.66594160277,16.490106617537094,6.09520059073832,43.731689453125,9.559403544098552e-07
4021,46.165501,-122.147797,76190.45028761575,14.509045578917721,2.858421197439749,6.927490234375,6.747656502993293e-07
4022,46.1665,-122.145599,76000.03181854842,7.353591117192991,4.7279425043067445,30.487060546875,9.392946830828965e-07
4023,46.167702,-122.144096,75823.55721896967,7.521170911437366,4.4456112124234455,40.618896484375,1.1135726132882818e-06
4024,46.1698,-122.145599,75705.9534673615,6.53273196448572,9.224038378977916,46.44775390625,4.605588664210938e-06
4025,46.171101,-122.147797,75692.1156560546,5.864272219667328,9.786481619623718,41.961669921875,9.505316028105834e-07
4026,46.1721,-122.149101,75664.06183824938,6.371379793039523,8.389251613268593,9.307861328125,1.7202090499584655e-07
4027,46.173401,-122.148598,75525.27877229139,5.998912472728989,7.92063664286972,46.44775390625,4.571054041230907e-07
4028,46.1749,-122.148003,75364.7067937056,5.5033175730350194,4.78685520230846,44.12841796875,2.6983532016806844e-07
4029,46.176102,-122.147797,75248.64737916627,6.49419821050833,5.862088719597606,21.026611328125,1.276326232737079e-06
4030,46.177601,-122.146103,75036.84416162605,4.58993980519881,4.004630333158565,35.125732421875,9.022772080178376e-07
4031,46.179298,-122.147202,74938.14537178964,3.8533629358862527,2.109326322487412,26.947021484375,5.130775908460851e-07
4032,46.181801,-122.1464,74679.49659789943,3.7494079554016935,1.9794093720093047,22.216796875,4.6288529683152115e-07
4033,46.183601,-122.147499,74572.45371103776,3.242120677125058,2.977057169681694,11.810302734375,1.6276516546336343e-06
4034,46.1852,-122.147903,74450.74527736845,3.2253218308323994,2.8630457474716535,28.656005859375,1.1276596208851e-06
4035,46.186699,-122.146698,74262.0185087955,3.784552072000224,2.430387325290453,17.15087890625,1.7278456967609845e-06
4036,46.188301,-122.1465,74111.85417369781,2.7163291642063996,2.958524115643837,16.54052734375,4.484197184292954e-07
4037,46.189499,-122.146301,73997.23030031488,2.663399149707402,2.640887313526297,13.916015625,3.0878345045376816e-07
4038,46.190399,-122.144997,73856.47509676433,3.008253325067926,5.7115442128367295,6.744384765625,1.8346113000527974e-07
4039,46.191002,-122.143501,73732.7272000701,4.088077211752534,7.533922516539844,15.167236328125,1.1881292219066745e-07
4040,46.192001,-122.142502,73597.7175030795,4.664124215734773,8.990775772326938,43.548583984375,1.0051139028779039e-06
4041,46.192501,-122.140099,73440.20929760074,6.043541388949961,3.194895889006845,14.739990234375,2.861935364854203e-07
4042,46.192799,-122.137199,73277.25105113217,6.977799919215613,3.560596194878917,11.962890625,4.5677469485062195e-07
4043,46.194199,-122.1353,73064.52473111203,4.1439885465515545,5.007339080482151,40.069580078125,6.021112787662393e-07
4044,46.195599,-122.1362,72983.69391609162,4.467530713547603,2.5495145497556884,16.082763671875,2.063416690987754e-07
4045,46.196701,-122.139198,73028.68344949851,5.709587416204158,2.715928871052202,11.962890625,1.7320391549895336e-07
4046,46.198002,-122.139099,72909.90664699141,9.207499426061986,3.3013752758985913,22.003173828125,4.366090779976348e-07
4047,46.199799,-122.138496,72723.83025644558,6.617101939744316,2.4998371621479256,15.045166015625,2.435195323107826e-07
4048,46.200199,-122.135803,72560.90079256505,6.452047600105288,4.784041366115493,46.0205078125,1.7227978788854958e-07
4049,46.2019,-122.135696,72406.74385086742,11.59892575860431,4.3825839885690145,7.32421875,1.883804585165924e-07
4050,46.203499,-122.136597,72309.68903990976,9.998967573279515,3.831106864439268,5.79833984375,1.842714434695054e-07
4051,46.205502,-122.136902,72149.2612923572,3.8852742029412184,2.432217958500077,6.77490234375,4.0161636383499503e-07
