station,lat,lon,dist_m,path_length_diff_m,direct_path_length,diffracted_path_length,sta_lta_amp,peak_freq,pre_shot_rms
4001,46.166599,-122.189499,21086.240167540105,223.28328726143081,21088.3907681589,21311.67405542033,2.6282904537531477,46.600341796875,1.0940223360107609e-06
4003,46.1665,-122.183998,21237.320113161462,287.916345811107,21237.913142799982,21525.82948861109,1.9779609008616406,42.205810546875,7.172448185111401e-07
4004,46.1646,-122.182297,21480.65814596055,301.471408784244,21479.454602293958,21780.9260110782,1.5571135029465104,12.6953125,6.813423534759949e-07
4005,46.162701,-122.182198,21681.710458608348,294.52602236632447,21679.357202237272,21973.883224603596,2.767876305004134,41.259765625,1.1071889612407552e-06
4006,46.1609,-122.180397,21917.317550920015,328.9595884969567,21912.717281114237,22241.676869611194,4.004310545354498,46.32568359375,1.5598974862719625e-06
4007,46.159698,-122.178101,22103.85684627584,320.89721390983686,22099.165842017395,22420.063055927232,2.648438265731467,14.892578125,6.074616865742889e-07
4009,46.1586,-122.173203,22351.832004636934,333.1531678142055,22346.21062630018,22679.363794114386,4.634190541610808,45.013427734375,8.59021910891807e-06
4010,46.157501,-122.170502,22541.439222619952,321.32574813805695,22535.812782817382,22857.13853095544,4.553542450667851,14.6484375,1.518308055454115e-06
4012,46.157501,-122.1642,22724.287046953843,309.10961589098224,22718.38863311597,23027.498249006952,2.541583352784829,14.068603515625,3.978992468685492e-07
4013,46.1567,-122.1623,22863.161641549203,308.83358160100397,22856.949404638675,23165.78298623968,4.477164466086301,39.581298828125,7.098192272211578e-06
4014,46.155102,-122.1614,23053.841252219892,306.42572869233845,23047.273559924775,23353.699288617114,2.899691626320198,33.75244140625,2.1612503295350797e-06
4015,46.153702,-122.158302,23290.776450648154,297.28611185085174,23283.80050733738,23581.08661918823,2.0774849941834956,44.097900390625,1.9491184985432493e-06
4016,46.1549,-122.154404,23289.671458523142,261.63248852308243,23282.83691533971,23544.469403862793,3.123790985741569,34.271240234375,7.719762478558644e-06
4017,46.1567,-122.152802,23158.270617080405,263.89617391993306,23151.79706578492,23415.69323970485,3.847119063437992,46.112060546875,3.2841174502568695e-06
4018,46.158798,-122.151497,22988.798838691462,279.92951554971296,22982.503236232893,23262.432751782606,2.171159066846114,45.257568359375,6.176122625791078e-07
4019,46.161499,-122.149498,22783.593663574145,269.7769357835168,22777.61796048718,23047.394896270696,3.3064098448650663,38.421630859375,1.8444483019499865e-06
4020,46.163799,-122.147697,22614.728907577195,250.7662735284939,22609.368811827862,22860.135085356356,3.650740950643154,41.351318359375,9.538479094148953e-07
4021,46.165501,-122.147797,22441.8155617319,226.87763053593153,22437.62324244926,22664.50087298519,2.667327897611309,7.965087890625,6.187561715793246e-07
4022,46.1665,-122.145599,22419.016806343636,194.2466044359753,22415.232470978106,22609.47907541408,2.0732167567088817,10.1318359375,5.52672187828437e-07
4023,46.167702,-122.144096,22353.251680423637,184.64510588108897,22349.3697130294,22534.014818910488,2.239085784977422,35.308837890625,6.281771391117297e-07
4024,46.1698,-122.145599,22092.795757288346,186.77432250345373,22089.37371079692,22276.148033300375,7.619753951461844,46.051025390625,7.537085737177949e-06
4025,46.171101,-122.147797,21886.414901389846,197.7881788826744,21883.367588770347,22081.15576765302,6.690107032772193,41.07666015625,1.4147483532560264e-06
4026,46.1721,-122.149101,21741.650958700928,209.6320129934029,21738.432729958367,21948.06474295177,1.962282159791095,8.148193359375,3.28563053076819e-07
4027,46.173401,-122.148598,21630.853026466735,202.820411746623,21627.8315862709,21830.65199801752,2.248437645466465,24.5361328125,1.8789163614197473e-06
4028,46.1749,-122.148003,21504.330471205503,184.81678206019205,21501.745967075374,21686.562749135566,6.265157993955435,32.135009765625,4.526720312835781e-05
4029,46.176102,-122.147797,21393.54313405019,174.3034751936175,21391.272550726637,21565.576025920254,1.9446883443456096,21.484375,3.497400205198236e-06
4030,46.177601,-122.146103,21308.33205545908,137.58835252126664,21306.677149264902,21444.26550178617,2.2065919043771403,36.2548828125,2.0788749626372213e-06
4031,46.179298,-122.147202,21102.05099917798,132.18616394093988,21101.328181599372,21233.514345540312,1.8295269000532264,23.040771484375,2.375051291435863e-06
4032,46.181801,-122.1464,20887.761913550552,108.47624835955139,20887.330290812137,20995.80653917169,2.4148329859747317,23.590087890625,1.3186972011218604e-06
4033,46.183601,-122.147499,20671.62935105636,109.0289541864804,20671.600763764283,20780.629717950764,2.7428489086745964,5.859375,5.420327108068811e-07
4034,46.1852,-122.147903,20501.165884021044,108.5011057256961,20501.2069954218,20609.708101147495,3.319378793224002,11.8408203125,1.3716426457301995e-06
4035,46.186699,-122.146698,20401.720743520276,92.47028053766917,20401.923168156864,20494.393448694533,2.4509094591193663,23.529052734375,1.962700874882579e-06
4036,46.188301,-122.1465,20254.773205646998,80.32679663916497,20255.5286551034,20335.855451742565,3.746151892264025,15.045166015625,2.4878689216332776e-06
4037,46.189499,-122.146301,20147.19406892048,78.48024193737001,20147.891918190682,20226.372160128052,1.9919377597056873,13.73291015625,8.65538323054515e-07
4038,46.190399,-122.144997,20111.737287622385,77.97592571172936,20112.004039561765,20189.979965273495,4.4894201875351785,13.824462890625,3.0879952273059014e-06
4039,46.191002,-122.143501,20113.15433740901,70.83391258961638,20112.621097855194,20183.45501044481,2.082608388653123,15.106201171875,3.3828591571662693e-07
4040,46.192001,-122.142502,20057.912733407815,65.48516967238902,20057.233797073768,20122.718966746157,3.6304406046008397,38.14697265625,8.930923875579952e-06
4041,46.192501,-122.140099,20107.596403619777,56.689208014246105,20106.24192660612,20162.931134620365,2.582131953431999,16.204833984375,6.21568033326139e-07
4042,46.192799,-122.137199,20198.51563766198,48.250678892422,20196.976092601635,20245.226771494057,2.157898179107667,12.237548828125,1.0552471483232833e-06
4043,46.194199,-122.1353,20146.72729785247,42.66342557430835,20145.3723520666,20188.035777640907,1.6341652074913982,21.17919921875,5.077436620920067e-07
