station,lat,lon,dist_m,path_length_diff_m,sta_lta_amp
4001,46.166599,-122.189499,31722.050966549035,77.85360868040152,2.273219853361116
4003,46.1665,-122.183998,31481.099954498968,59.78285813632465,2.5200300676355516
4004,46.1646,-122.182297,31576.755741431232,50.413476189554785,1.5947777910159076
4005,46.162701,-122.182198,31744.890128706138,47.155752883758396,2.641139308879249
4006,46.1609,-122.180397,31829.67330004213,50.92466678833807,6.642861652305808
4007,46.159698,-122.178101,31839.531048167257,40.12168284746076,2.7644521785538134
4009,46.1586,-122.173203,31729.76629390258,33.37572858493877,3.9063153318273103
4010,46.157501,-122.170502,31717.119354481067,24.520337865080364,2.0976036181953943
4012,46.157501,-122.1642,31453.685783803587,17.354557180155098,1.7445758178372996
4013,46.1567,-122.1623,31450.706497294726,15.865988299559831,2.9357280408042414
4014,46.155102,-122.1614,31564.651852858868,17.9756947667629,2.4746250809594144
4015,46.153702,-122.158302,31572.06283034281,17.40848040745186,2.1670211900719076
4016,46.1549,-122.154404,31302.444651758906,10.117409692393267,6.214572735762301
4017,46.1567,-122.152802,31067.212830630724,8.373805460170843,3.3586745891995546
4018,46.158798,-122.151497,30815.387677213224,10.747714057008125,2.183611324266423
4019,46.161499,-122.149498,30478.529779419092,13.41021661060222,3.5217623840152856
4020,46.163799,-122.147697,30187.761097845407,13.132375289882475,8.983354559094812
4021,46.165501,-122.147797,30029.89197957384,11.33521095740798,2.257934233664298
4022,46.1665,-122.145599,29846.98687165781,2.2738228752059513,1.8571312770699393
4023,46.167702,-122.144096,29672.63710335827,2.2086823034551344,3.5025266074160073
4024,46.1698,-122.145599,29533.530676859078,2.2707408476235287,2.66639235442693
4025,46.171101,-122.147797,29499.639841635795,1.9094291963374417,9.05086480331638
4026,46.1721,-122.149101,29458.934415446896,2.512587796878506,2.6469593133232943
4027,46.173401,-122.148598,29315.884471412937,2.5409964990903973,1.9182950073010483
4028,46.1749,-122.148003,29150.509277162182,2.219663806612516,4.977944930962454
4029,46.176102,-122.147797,29029.200594596445,3.64165028617208,2.181605760980548
4030,46.177601,-122.146103,28818.407188355402,1.159584636840009,2.588664837779924
4031,46.179298,-122.147202,28705.25206902109,0.7275521559276967,2.667929297088029
4032,46.181801,-122.1464,28437.989736093346,0.7842652485815051,1.960795007399895
4033,46.183601,-122.147499,28316.923596182798,0.9797122273375862,2.894493846753099
4034,46.1852,-122.147903,28185.86833042078,1.5972581063688267,2.8685674448410237
4035,46.186699,-122.146698,27995.607515713153,2.1858494792686542,2.687003669234858
4036,46.188301,-122.1465,27839.007057731782,1.3757514034077758,2.5723764079592755
4037,46.189499,-122.146301,27719.87891442963,1.7784026639528747,1.8978313377735847
4038,46.190399,-122.144997,27580.696389119235,2.009457121428568,2.6260166722914984
4039,46.191002,-122.143501,27460.736948580197,2.441383549863531,2.8779822485710627
4040,46.192001,-122.142502,27325.562451989976,3.004575706756441,1.9719613700964158
4041,46.192501,-122.140099,27176.56853553912,4.988330927018978,1.858681014053312
4042,46.192799,-122.137199,27025.930003638474,4.728646756509988,1.4160429485649104
4043,46.194199,-122.1353,26815.514723063072,1.276241576015309,2.4525638538156027
4044,46.195599,-122.1362,26723.370511292997,3.6321980447683018,1.8653665650937596
4045,46.196701,-122.139198,26749.60348253441,7.363253919389535,1.947182361240244
4046,46.198002,-122.139099,26625.442796570827,7.848787552342401,2.069127497378723
4047,46.199799,-122.138496,26434.026069649797,5.57576192781562,2.2319580667612806
4048,46.200199,-122.135803,26280.72222710792,7.040692130678508,6.183143177283351
4049,46.2019,-122.135696,26119.407462346968,9.597116425342392,6.5856879839932905
4050,46.203499,-122.136597,26011.79979412654,7.092972408096102,2.2535671766232728
4051,46.205502,-122.136902,25842.017575889568,1.7929071601574833,2.3448106132884328
4052,46.207802,-122.136703,25623.684719181714,3.443632677750429,2.9404849947225697
4053,46.2099,-122.138,25491.377486174155,11.594228640165966,1.685175579383711
4054,46.211601,-122.138702,25369.616754026585,10.927246247483708,3.703431129435116
4055,46.212898,-122.139297,25280.130480125586,2.017433449422242,3.4961239528449406
4056,46.212799,-122.141899,25408.105545092538,1.1626447819980967,2.089537692672372
4057,46.212799,-122.144096,25509.457542804746,0.910038112080656,2.318946811780928
4058,46.212799,-122.146797,25635.042307305554,1.082264118893363,2.475168127726932
4060,46.2146,-122.150803,25665.336088696542,5.132951442094054,2.1981341451545844
4061,46.216202,-122.153603,25659.817118260085,2.8242038587159186,2.017808523244424
4062,46.217999,-122.153397,25494.1940428691,1.6817823812380084,5.4967307335044
4063,46.219601,-122.1549,25429.34192597288,2.195271574677463,1.672339783729352
4064,46.220699,-122.155998,25389.165210133026,2.5786016070851474,2.702506188705569
4065,46.223,-122.1576,25272.674555948393,3.1843782198047847,2.1282407574476507
4067,46.2257,-122.160004,25165.91984004735,4.295443274528225,1.7860157914293566
4068,46.226398,-122.1605,25132.669071140153,4.457178649492562,1.9955833801325848
4069,46.227299,-122.160797,25072.59441415299,5.021839407101652,1.9737251616868514
4070,46.227901,-122.159599,24961.28336574099,5.358008317285567,2.6827682773504513
4071,46.228901,-122.159302,24862.784912337705,6.267402527497325,1.6920874594181456
4072,46.227699,-122.161697,25085.325196020083,5.469521764160163,2.3268739877563807
4073,46.227501,-122.162804,25158.539027004736,5.266975133203232,2.5799866426401246
4075,46.228401,-122.167503,25327.35382528795,6.143467394016625,1.8910507973122952
4076,46.228001,-122.1698,25480.013485290063,6.275912632270774,2.1350967275470936
4077,46.228298,-122.172203,25581.972080620817,6.697952276965225,2.244407325135858
