station,lat,lon,dist_m,path_length_diff_m,direct_path_length,diffracted_path_length,sta_lta_amp,peak_freq,pre_shot_rms,arr_time
4001,46.166599,-122.189499,50401.25799797616,43.891797985794256,50397.76406216699,50441.65586015279,3.275740893813995,26.641845703125,1.8512819291163498e-07,151.992
4003,46.1665,-122.183998,50741.86930871726,70.96685326874285,50736.962104379294,50807.92895764804,4.599044401451493,24.5361328125,2.0071761939366855e-07,148.008
4004,46.1646,-122.182297,50975.59494345339,68.96564451864833,50969.11286303086,51038.07850754951,3.26846662280855,12.63427734375,1.2024231343122953e-07,146.24
4005,46.162701,-122.182198,51112.306482428634,63.047206658324285,51104.79260466513,51167.83981132345,2.5153216764864936,27.313232421875,2.2052171160294604e-07,159.568
4006,46.1609,-122.180397,51345.65639541809,81.77886999776092,51335.81577699383,51417.594646991594,2.5118983047222807,16.143798828125,2.472853582430868e-07,154.27200000000002
4007,46.159698,-122.178101,51567.62513472584,68.12550669639313,51557.66691415259,51625.792420848986,2.523948620718227,16.448974609375,6.02369802444572e-07,151.424
4009,46.1586,-122.173203,51940.047140521245,82.54132547284826,51928.93368068142,52011.475006154265,1.8905332993870647,26.397705078125,1.3646932325502358e-06,151.43200000000002
4010,46.157501,-122.170502,52179.512410734715,77.19197508806974,52168.382040699194,52245.574015787264,2.4601520900904545,14.556884765625,1.8735092115028035e-07,157.368
4012,46.157501,-122.1642,52562.69570716301,102.09302468907845,52551.12727661999,52653.22030130907,1.974687379503369,14.58740234375,1.4631720285648201e-07,157.024
4013,46.1567,-122.1623,52733.19461408834,103.38444313353102,52721.20591792365,52824.590361057184,2.605341459563898,45.440673828125,2.4319358931023216e-07,162.024
4014,46.155102,-122.1614,52897.248775220054,92.40026476784988,52884.80721739126,52977.20748215911,2.3129188383398676,10.07080078125,1.6189131076068817e-07,162.976
4015,46.153702,-122.158302,53181.64090451637,95.54537142110348,53168.60009096212,53264.145462383225,2.5765438095535576,11.90185546875,2.7850313096056187e-07,161.456
4016,46.1549,-122.154404,53337.830109160655,112.07124152214965,53324.92363608648,53436.99487760863,3.545268497699027,25.20751953125,3.980148347754623e-07,163.35999999999999
4018,46.158798,-122.151497,53252.95053243976,155.7693692860339,53240.66858292182,53396.43795220785,2.7398626725794477,8.7890625,1.0916568099439523e-07,160.152
4019,46.161499,-122.149498,53195.71697966898,183.66541995026637,53183.762422818356,53367.42784276862,2.9955994081721533,37.200927734375,2.1815230368680348e-07,152.584
4020,46.163799,-122.147697,53154.744426974925,210.27050063649222,53143.47083449008,53353.74133512657,3.9352212112996336,11.199951171875,9.055783838283429e-08,162.704
4021,46.165501,-122.147797,53036.23863348139,215.34008204400016,53026.23579771521,53241.57587975921,2.856383570411935,7.904052734375,1.058713235396417e-07,163.224
4022,46.1665,-122.145599,53107.549503982154,223.0778854290911,53097.90917566846,53320.98706109755,3.0303148800483717,7.904052734375,7.103387836175245e-08,163.768
4023,46.167702,-122.144096,53122.828152126574,229.7184921732478,53113.044866407625,53342.76335858087,2.7186761929810443,43.182373046875,4.2838146470907435e-07,164.056
4024,46.1698,-122.145599,52892.12218615529,230.7911124350212,52882.764537985066,53113.55565042009,2.5669543189874595,7.171630859375,1.2338728324365169e-07,155.232
4025,46.171101,-122.147797,52669.86135291145,238.1829756869265,52660.90187641552,52899.084852102445,2.1477562254450477,5.4931640625,8.140979474651812e-08,156.472
4026,46.1721,-122.149101,52523.25027715061,254.17165531110368,52514.1205752378,52768.292230548905,3.1197084902720382,13.12255859375,8.68803920262752e-08,161.88
4027,46.173401,-122.148598,52470.473614811424,262.76614062707085,52461.51950333628,52724.285643963354,2.6160527297252263,6.317138671875,1.009383859009009e-07,156.89600000000002
4028,46.1749,-122.148003,52411.09942721423,247.8767866942071,52402.53827083977,52650.41505753397,5.5329688184284365,44.7998046875,3.7836861416381757e-07,150.152
4029,46.176102,-122.147797,52346.76220048599,250.51953002103983,52338.45837440471,52588.97790442575,3.2292379225355736,26.55029296875,4.922094127123299e-07,160.504
4030,46.177601,-122.146103,52357.694457357764,206.53147181142413,52349.916318701966,52556.44779051339,2.461964166394121,26.2451171875,2.541573280441966e-07,161.656
4031,46.179298,-122.147202,52179.98634251705,216.61799564855028,52173.00960318975,52389.6275988383,2.483650650300815,29.022216796875,2.4313939353830216e-07,153.016
4032,46.181801,-122.1464,52072.05717146616,250.24576255524153,52065.280557816484,52315.526320371726,2.693269780433265,14.617919921875,3.2768774302464454e-07,161.96800000000002
4033,46.183601,-122.147499,51888.62133556349,251.41186194507463,51882.16133916039,52133.573201105464,2.3193983844972617,16.357421875,2.8151880344671236e-07,151.024
4034,46.1852,-122.147903,51762.350229081225,264.84327122018294,51755.91626179538,52020.75953301556,2.5888205727262514,16.29638671875,1.006887321653677e-06,154.30399999999997
4035,46.186699,-122.146698,51745.38343599393,253.93591242648108,51739.05276039969,51992.98867282617,2.483640793775561,17.27294921875,1.8584476240503032e-06,154.184
4036,46.188301,-122.1465,51658.2466762316,241.46960252251301,51652.33183717789,51893.8014397004,2.271612205250867,16.05224609375,4.3734060916479387e-07,156.288
4037,46.189499,-122.146301,51596.65713592816,223.33806624169665,51590.66392925282,51814.00199549452,2.3624350844077235,17.974853515625,2.97798004187939e-07,158.784
4038,46.190399,-122.144997,51624.68028042339,206.68990727777418,51618.30012368311,51824.990030960886,2.7496254137674967,17.120361328125,1.2904963549298896e-07,156.392
4039,46.191002,-122.143501,51683.67923004324,204.14884904481733,51676.59253275694,51880.74138180176,2.803827687739846,13.946533203125,9.230287885722268e-08,152.368
