station,lat,lon,dist_m,path_length_diff_m,direct_path_length,diffracted_path_length,sta_lta_amp,peak_freq,pre_shot_rms
4001,46.166599,-122.189499,13954.869642706895,16.863892734798355,13976.987004685578,13993.850897420376,2.5159569243677864,20.751953125,1.5845130515540094e-07
4003,46.1665,-122.183998,14236.768140984179,17.406222548668666,14255.328347581724,14272.734570130393,3.1836515053746286,10.772705078125,6.529385287962399e-08
4004,46.1646,-122.182297,14176.81629357427,23.044924023672138,14192.028780016097,14215.073704039769,2.827963477545297,12.51220703125,8.427810324997529e-08
4005,46.162701,-122.182198,14032.883263050175,22.188543286663844,14046.038589671809,14068.227132958473,3.49633446963384,23.651123046875,1.2317610781214219e-07
4006,46.1609,-122.180397,13992.94457599153,26.235958762146765,14001.0948285473,14027.330787309447,3.2214868408571418,19.8974609375,1.3797241904513444e-07
4007,46.159698,-122.178101,14030.445607901622,21.079885122446285,14038.54415640845,14059.624041530897,2.103996898942968,20.599365234375,2.585711147439161e-07
4009,46.1586,-122.173203,14229.137812356079,21.966900494542642,14234.866695549114,14256.833596043656,2.556789626558432,35.64453125,3.62144044989837e-07
4010,46.157501,-122.170502,14306.55824521137,19.282065987474198,14312.419208823638,14331.701274811112,2.1917696289677204,6.4697265625,5.3999654914582696e-08
4012,46.157501,-122.1642,14680.060947492715,18.67118014521111,14684.99204610281,14703.663226248022,3.267139249285025,6.500244140625,3.422840137364984e-08
4013,46.1567,-122.1623,14738.202815985765,20.71447311556767,14742.379075505003,14763.09354862057,4.536708590758179,33.87451171875,2.9892397498006926e-07
4014,46.155102,-122.1614,14682.710583518374,21.062168844233383,14686.164285012701,14707.226453856934,2.3118238836157596,7.8125,1.7639496260848968e-07
4015,46.153702,-122.158302,14778.273595524586,22.952864679729828,14780.709893501886,14803.662758181616,2.1388909666534435,12.02392578125,2.7989673686403526e-07
4016,46.1549,-122.154404,15099.22686616293,22.194109888727326,15101.78969933767,15123.983809226398,6.810825256290607,21.881103515625,5.037620540805857e-07
4017,46.1567,-122.152802,15318.10910131047,20.783621004467932,15321.335700971078,15342.119321975546,3.1387478312899653,8.270263671875,1.341601570049856e-07
4018,46.158798,-122.151497,15539.297328789367,21.732040658400365,15542.599304858682,15564.331345517083,2.6335985288983905,7.01904296875,9.602101249636835e-08
4019,46.161499,-122.149498,15844.932592514764,20.647052895912566,15848.53497983511,15869.182032731023,4.199796743301804,35.33935546875,1.0244939695434252e-07
4020,46.163799,-122.147697,16112.176090612325,19.110877311270087,16116.824614666893,16135.935491978164,4.46676032573623,11.53564453125,6.74725328936358e-08
4021,46.165501,-122.147797,16224.146140352115,16.700894869041804,16231.095185819382,16247.796080688424,4.174451848902523,6.072998046875,9.623541327629004e-08
4022,46.1665,-122.145599,16426.013515177438,16.75535770958959,16433.566578270456,16450.321935980046,3.447662607445988,7.354736328125,6.631444098360556e-08
4023,46.167702,-122.144096,16600.21940875052,18.1550467722991,16607.28803371524,16625.443080487537,2.635763766772645,12.5732421875,7.000225034724149e-08
4024,46.1698,-122.145599,16658.262509385822,26.91538415654577,16665.923320573012,16692.83870472956,2.3959728743900968,8.48388671875,7.812929283115057e-08
4025,46.171101,-122.147797,16621.775180773944,22.207114470485976,16629.99920622964,16652.206320700127,3.0200137562841145,46.7529296875,3.065284799151649e-08
4026,46.1721,-122.149101,16618.081698855905,29.85883101358195,16625.80689106808,16655.665722081663,1.9665592247748163,9.002685546875,5.902733865303316e-08
4027,46.173401,-122.148598,16742.552121223944,28.334580621682107,16750.399580531863,16778.734161153545,2.4312491368005142,7.171630859375,5.9448074057045605e-08
4028,46.1749,-122.148003,16887.36426902226,27.57198249078283,16895.73488029609,16923.306862786874,2.339551308203544,42.449951171875,7.100143855455914e-08
4029,46.176102,-122.147797,16988.28811693904,27.613139251319808,16997.006111908126,17024.619251159445,2.0957222774894495,22.674560546875,9.914367618441e-08
4030,46.177601,-122.146103,17196.99710518796,23.65827521056417,17206.495500345776,17230.15377555634,1.9551687670985485,6.866455078125,8.884087564867006e-08
4031,46.179298,-122.147202,17261.54494826006,26.42458207215168,17272.387845364196,17298.812427436347,2.003334346735903,5.157470703125,9.203428895257029e-08
4032,46.181801,-122.1464,17496.574715093204,31.268304070104932,17507.34065713861,17538.608961208716,1.7450825444222349,8.697509765625,1.5725255922711942e-07
4033,46.183601,-122.147499,17573.092766668207,35.83731492005245,17584.193956111816,17620.03127103187,1.5993852803311162,15.9912109375,1.2469496512186043e-07
4034,46.1852,-122.147903,17674.56978015832,43.109962675607676,17685.457973813205,17728.567936488813,1.7982593325195801,26.336669921875,4.3741303367281546e-07
4035,46.186699,-122.146698,17857.71026000408,41.208380763448076,17868.48578226083,17909.694163024276,2.032416129343002,18.768310546875,8.939556315411135e-07
4036,46.188301,-122.1465,17993.973124563825,41.483363907977036,18005.283709115443,18046.76707302342,1.9223964281509287,4.913330078125,2.093655516804247e-07
4037,46.189499,-122.146301,18099.124624923297,45.47509029848152,18110.084125270536,18155.559215569017,1.8543869140808127,16.082763671875,1.3707025448047167e-07
4038,46.190399,-122.144997,18241.042110524115,46.96986552332601,18251.094142322443,18298.06400784577,2.579449921097507,17.303466796875,6.424479029311612e-08
4039,46.191002,-122.143501,18370.00158901705,49.670789594332746,18378.631788441882,18428.302578036215,2.019701950406229,6.103515625,5.032455745828908e-08
4040,46.192001,-122.142502,18503.11168958275,50.77302160116233,18511.297965743226,18562.07098734439,2.3354046231981416,5.2490234375,6.294390473036953e-08
