station,lat,lon,dist_m,path_length_diff_m,sta_lta_amp,pre_shot_rms
4001,46.166599,-122.189499,17055.319371212943,100.79635244494057,3.0572486694320182,3.923938907910974e-06
4003,46.1665,-122.183998,16833.860904117344,78.30581920278564,1.7490296631564939,1.558715815335448e-06
4004,46.1646,-122.182297,16943.745936807944,65.88294960220082,1.4721282348935663,1.014247871997462e-06
4005,46.162701,-122.182198,17120.085532653164,61.402192010842555,1.9983727081987368,2.2548511853698676e-06
4006,46.1609,-122.180397,17220.971120017493,67.56248172582855,2.902592700982777,1.114652576328609e-05
4007,46.159698,-122.178101,17247.914260908357,49.89189807236471,2.4658300124473476,1.2412869413357586e-06
4009,46.1586,-122.173203,17171.160493287538,41.65262022604293,5.088428269514078,2.4662680998038917e-05
4010,46.157501,-122.170502,17181.233936597062,31.586477761302376,6.514909109300349,3.216904695099434e-06
4012,46.157501,-122.1642,16961.481566534283,23.054419968615548,2.0492459301200237,6.991941690179541e-07
4013,46.1567,-122.1623,16977.708985729034,19.339328541540453,3.7720675540211186,8.45389075471313e-06
4014,46.155102,-122.1614,17108.59146684625,17.772372026342055,3.925762209277808,8.39759601644247e-06
4015,46.153702,-122.158302,17150.492004102976,19.42847732049995,5.281235438182543,4.160524113172335e-06
4016,46.1549,-122.154404,16907.325720593657,18.133268231311376,2.7081892452020746,1.249948774283334e-05
4017,46.1567,-122.152802,16674.604547701907,15.499897567824519,3.5357106421844318,6.110428797169958e-06
4018,46.158798,-122.151497,16420.549601884708,17.40662711549885,1.8885642295564473,3.0953559212090457e-06
4019,46.161499,-122.149498,16083.765182862518,19.104175335107357,2.1896547042926495,3.038702999165227e-06
4020,46.163799,-122.147697,15794.017687665517,17.21756687726338,3.919329937368804,2.2908461918407256e-06
4021,46.165501,-122.147797,15623.218433119917,14.571033625115888,2.748414563281992,1.318104216504743e-06
4022,46.1665,-122.145599,15454.329994455493,2.402252785572273,1.7849910089294188,3.495358264822242e-06
4023,46.167702,-122.144096,15286.116590923539,1.3668505666082638,1.64596237682313,5.381572117997786e-06
4024,46.1698,-122.145599,15117.27747323151,1.3502704774928134,5.797580639696211,9.173892916170865e-06
4025,46.171101,-122.147797,15053.891847510236,0.9630960417598544,3.708918078704722,4.338366362801641e-06
4026,46.1721,-122.149101,14994.805512705341,2.487499320106508,1.3501429395712377,3.950884252129991e-07
4027,46.173401,-122.148598,14847.279379401942,2.900543013603965,2.376984374419448,1.1767395191394864e-06
4028,46.1749,-122.148003,14676.852101910335,2.8965013914039446,2.337666936966332,2.6194979751816557e-07
4029,46.176102,-122.147797,14549.142254191553,3.845422643420534,3.3674748545753452,7.019131090968871e-06
4030,46.177601,-122.146103,14342.744185497651,0.37622298125279485,1.4690074454186244,1.8369312213405308e-06
4031,46.179298,-122.147202,14208.60860564502,0.21515023157007818,2.1481900111536842,2.411881212799744e-06
4032,46.181801,-122.1464,13931.16897019644,0.5932225190845202,1.4893005059466486,1.9431749939319473e-06
4033,46.183601,-122.147499,13789.314931946095,1.689403945907543,2.1789957205948363,4.5542244836082145e-07
4034,46.1852,-122.147903,13644.803608068727,2.3909448821614205,1.6520030779108852,1.1709297543457362e-06
4035,46.186699,-122.146698,13454.102046701026,2.7814056548450026,1.9263726809472514,1.945010130585084e-06
4036,46.188301,-122.1465,13288.711796653004,1.658335904494379,2.304503102069356,9.003804365607993e-07
4037,46.189499,-122.146301,13163.440503192696,1.307422424948527,2.743263084954533,8.14650406060707e-07
4038,46.190399,-122.144997,13028.268832136238,2.592144945596374,7.69867178039762,2.9014646602359205e-06
4039,46.191002,-122.143501,12915.884533819513,3.8087679166765156,2.5327999424167658,3.5319248829146713e-07
4040,46.192001,-122.142502,12781.937240692596,4.3050473582170525,1.2610434494869431,4.9158735156364135e-06
4041,46.192501,-122.140099,12649.1117139649,6.760179120963585,1.7636675956067172,4.1965843998130163e-07
4042,46.192799,-122.137199,12521.568755084734,5.0352193609542155,1.9369845209074805,1.718423341239235e-06
4043,46.194199,-122.1353,12318.218191872162,0.12961527888910496,1.5456612477231688,2.420885049759865e-06
4044,46.195599,-122.1362,12207.58199886596,5.1648984354669665,1.6534248993467746,9.059497293108335e-07
4045,46.196701,-122.139198,12200.657835940623,7.2804088496814074,1.5448684986343797,4.632938532051308e-07
4046,46.198002,-122.139099,12068.47230586531,8.591183860593446,1.5043059247503867,1.4373649334748477e-06
4047,46.199799,-122.138496,11869.708476648182,4.700600115500492,4.120705992847456,1.2250917267907544e-06
4048,46.200199,-122.135803,11735.395216483606,7.130048363822425,2.791825501191581,1.5225459566769732e-06
4049,46.2019,-122.135696,11563.051931253582,8.891876050600331,1.9149711697490999,8.115012161318927e-07
4050,46.203499,-122.136597,11437.398368881035,4.100035696155828,1.937345089212471,3.936790628534132e-07
4051,46.205502,-122.136902,11252.154262586795,0.790621854879646,1.3895080621764697,8.328869130519134e-07
4052,46.207802,-122.136703,11020.588099790912,5.339756193614448,2.3564222358346747,5.189251224616459e-07
4053,46.2099,-122.138,10867.045774966246,15.527920944125071,1.6704702719987883,9.459791971765545e-07
4054,46.211601,-122.138702,10731.495375367935,7.209763716282396,2.1048497712120167,3.6246752952476653e-07
4055,46.212898,-122.139297,10631.824857551199,1.518643524921572,1.4662075431785606,1.0082855455851407e-06
4056,46.212799,-122.141899,10747.205892123195,0.1684063052998681,1.3802273002186598,5.658434167278241e-07
4057,46.212799,-122.144096,10838.78386923198,0.044757762114386423,2.0318416943926523,5.037608778734936e-07
4058,46.212799,-122.146797,10953.911703388458,0.03313299974615802,1.723926145736023,4.0118541206427264e-07
4060,46.2146,-122.150803,10966.878280501374,5.762440458582205,1.411957815422692,4.0678705547204454e-07
4061,46.216202,-122.153603,10952.909006914035,1.986724086205868,1.5359347021012675,2.1061050159968122e-07
4062,46.217999,-122.153397,10785.054730329855,0.5723492502020235,1.3834978639312534,3.5436361039702094e-07
4063,46.219601,-122.1549,10717.81002064497,1.2573140165950463,1.6178774038070358,5.983315382843568e-07
4064,46.220699,-122.155998,10677.265560011794,1.047082562577998,2.4133741268179603,1.817383881196794e-07
4065,46.223,-122.1576,10562.955840022192,2.2097220124705927,1.4460838307083133,1.451367787563686e-07
4067,46.2257,-122.160004,10464.632052079562,2.729373753980326,1.6323879634115066,1.6805177225873277e-07
