station,lat,lon,dist_m,path_length_diff_m,sta_lta_amp,peak_freq,pre_shot_rms
4001,46.166599,-122.189499,30846.869365936538,3.0054923985881032,2.977689512883937,22.186279296875,3.197735026333181e-07
4003,46.1665,-122.183998,30460.33857841015,3.39737955748933,2.2251594496481397,28.1982421875,2.1432368633681578e-07
4004,46.1646,-122.182297,30249.47416460768,3.395167740229226,2.64503229786184,16.998291015625,2.4827890428364983e-07
4005,46.162701,-122.182198,30150.75674498356,3.2500937284530664,3.211677192253007,21.78955078125,1.6958493269729188e-07
4006,46.1609,-122.180397,29939.025383643595,3.700491439212783,2.7907912542388473,13.36669921875,1.9517322274015092e-07
4007,46.159698,-122.178101,29721.564153086867,3.398805390257621,2.2421165491309876,15.07568359375,5.464894401356953e-07
4009,46.1586,-122.173203,29327.413034020796,3.9162699210864957,2.222446096511695,38.75732421875,9.081993162558368e-07
4010,46.157501,-122.170502,29086.556804144024,3.540979848818097,2.0812516914263774,13.00048828125,1.6855811513908976e-07
4012,46.157501,-122.1642,28647.4568016701,3.9491932247692603,1.7981873653341716,14.46533203125,1.607583584278296e-07
4013,46.1567,-122.1623,28476.58144164464,3.9917053358003614,3.508799458473433,9.429931640625,2.5617285099579746e-07
4014,46.155102,-122.1614,28337.08576178164,3.8439849100141146,3.7301895201183912,10.07080078125,1.9815056072493757e-07
4015,46.153702,-122.158302,28054.12108394105,4.265752832190628,1.7462357896165872,16.05224609375,2.926588144504343e-07
4016,46.1549,-122.154404,27840.43235490108,5.613971639828378,7.9092723244083905,25.0244140625,4.763718363099828e-07
4018,46.158798,-122.151497,27832.26256012474,5.02528259779865,4.8082417553764865,24.688720703125,1.2282466051518336e-07
4019,46.161499,-122.149498,27832.68630577923,5.498197313540004,3.639371768085997,8.056640625,1.4347232396352376e-07
4020,46.163799,-122.147697,27829.565636544397,5.775295200874098,5.356309991332853,9.6435546875,9.011666865046339e-08
4021,46.165501,-122.147797,27926.351301003357,5.708661049418879,3.5635577020185543,7.01904296875,1.3058173489076395e-07
4022,46.1665,-122.145599,27830.9507555186,5.8357463882312,3.7490651296500506,6.591796875,8.733770718854834e-08
4023,46.167702,-122.144096,27794.56288826556,6.065486115072417,2.9503881365771196,11.016845703125,1.046840549378363e-07
4024,46.1698,-122.145599,28010.28932452774,6.152556714248931,2.353259072878075,7.110595703125,1.09912522688223e-07
4025,46.171101,-122.147797,28229.336409657593,6.132748191008432,3.0695156888895028,15.380859375,3.223287733818805e-08
4026,46.1721,-122.149101,28371.84661385424,6.410696924689546,2.5367973598803935,7.080078125,8.109803695273963e-08
4027,46.173401,-122.148598,28410.31186172691,6.402577591197769,2.41682116313564,7.080078125,7.777224080509431e-08
4028,46.1749,-122.148003,28454.516930144317,6.595728918608074,2.470824048812907,13.12255859375,1.3557210775604796e-07
4029,46.176102,-122.147797,28508.68083223823,6.783765119325835,1.9229683655991237,15.472412109375,2.1959290785898697e-07
4030,46.177601,-122.146103,28481.87331192236,7.145455872043385,2.29920052237028,33.935546875,2.222803243308625e-07
4031,46.179298,-122.147202,28652.15757344947,7.3067131171919755,2.5825985423873328,27.7099609375,1.5948170809868352e-07
4032,46.181801,-122.1464,28745.1010507449,8.103388051255024,2.3618115519134317,14.2822265625,2.609232962385553e-07
4033,46.183601,-122.147499,28923.02360621883,8.4997482605213,2.561509797102815,6.072998046875,2.1382090921523034e-07
4034,46.1852,-122.147903,29044.193009562307,9.025015048311616,2.171077580841789,13.092041015625,8.208932119845424e-07
4035,46.186699,-122.146698,29055.41621173901,9.790673070216144,1.8402719786989794,23.406982421875,1.557045934296079e-06
4036,46.188301,-122.1465,29139.281746530218,10.3634525042944,2.15737419440692,11.71875,3.640983675713008e-07
4037,46.189499,-122.146301,29199.26856620226,10.896757039510703,2.4436988462012197,14.6484375,2.3914444495721487e-07
4038,46.190399,-122.144997,29170.344424908595,11.564562123010546,3.3804689135997035,16.845703125,1.050365317370028e-07
4039,46.191002,-122.143501,29111.40091375875,12.241717179065745,3.5751787227650764,5.889892578125,7.823992426651527e-08
4040,46.192001,-122.142502,29109.387717534715,12.8039939129485,4.4821216267290716,10.650634765625,2.619901177630682e-07
4041,46.192501,-122.140099,28987.226960704695,13.527902069225092,2.8113467091091815,15.960693359375,6.291776708562698e-08
4042,46.192799,-122.137199,28821.528022254395,14.084146464472724,3.1336993917372458,11.41357421875,9.895800475621386e-08
4043,46.194199,-122.1353,28790.250748282728,14.70687726842516,1.998965423311171,15.7470703125,6.678520193546538e-08
4044,46.195599,-122.1362,28936.681962388346,14.968908067272423,2.076288659885839,15.380859375,7.444169449998981e-08
4045,46.196701,-122.139198,29196.37386079711,14.987401063524885,1.854997145373107,18.6767578125,1.4643548764627809e-07
4046,46.198002,-122.139099,29273.72817446987,15.100189880864491,1.9659646212704383,22.857666015625,5.163905491202543e-07
4047,46.199799,-122.138496,29352.217978520428,15.415809574449668,2.61308424998526,15.533447265625,2.3729205859368765e-07
4048,46.200199,-122.135803,29210.077204259855,16.73445912056195,2.3121597788464183,22.979736328125,4.7322111203369816e-08
4049,46.2019,-122.135696,29315.268289817166,16.38067451099414,2.80358774602739,6.622314453125,1.35042154066431e-07
4050,46.203499,-122.136597,29476.926331814757,17.265042443730636,2.8248843706717204,6.40869140625,1.3422629847785583e-07
4051,46.205502,-122.136902,29629.081511258326,21.18768816843658,2.395936640486815,14.617919921875,1.452755973774305e-07
4052,46.207802,-122.136703,29771.20675672468,23.005713968326745,2.062660912148657,13.85498046875,1.0649537579236331e-07
