station,lat,lon,dist_m,path_length_diff_m,direct_path_length,diffracted_path_length,sta_lta_amp,peak_freq,pre_shot_rms
4001,46.166599,-122.189499,33959.596524081644,194.32998346297245,33952.913260564565,34147.24324402754,2.4953825412694357,40.283203125,1.5239351966382157e-06
4003,46.1665,-122.183998,34107.80035472105,257.61298597701534,34100.191896258606,34357.80488223562,2.903724964178163,10.19287109375,8.299298004881661e-07
4004,46.1646,-122.182297,34350.548469282185,269.31658415086713,34341.858160678596,34611.17474482946,2.1904754802924633,16.448974609375,1.9462485659951748e-06
4005,46.162701,-122.182198,34552.29995386081,264.2046407079688,34542.90712718752,34807.11176789549,2.595649689925004,25.69580078125,5.925623746019355e-07
4006,46.1609,-122.180397,34787.21145491557,295.9778852396339,34776.46852442455,35072.44640966418,2.852332473439247,22.857666015625,1.095934725065369e-06
4007,46.159698,-122.178101,34972.24709686523,279.54152874853025,34961.43108138025,35240.97261012878,2.2203375441016284,16.998291015625,1.389476631961112e-06
4009,46.1586,-122.173203,35215.26390030256,297.0449932708507,35203.88152888519,35500.92652215604,5.44477910907681,45.95947265625,2.0958470008144486e-06
4010,46.157501,-122.170502,35401.906707700946,279.2530782940812,35390.501445850685,35669.754524144766,3.872343723551326,18.646240234375,3.336769214032788e-07
4012,46.157501,-122.1642,35573.76321847608,272.2963453586344,35562.18767537232,35834.48402073095,2.346209451940087,13.214111328125,4.2923718968579797e-07
4013,46.1567,-122.1623,35709.70317470488,266.763490684767,35697.92902792857,35964.69251861334,8.356988091587523,43.5791015625,2.7173654483054765e-06
4014,46.155102,-122.1614,35900.447411130015,264.14479669536377,35888.441088057014,36152.58588475238,2.1141083422972793,11.41357421875,1.1869822960964768e-06
4015,46.153702,-122.158302,36132.47231550393,250.83497064741823,36120.20395270205,36371.03892334947,2.460856849616353,38.604736328125,1.4530488770876362e-06
4016,46.1549,-122.154404,36120.24000940746,233.4371089099659,36108.061284887364,36341.49839379733,2.7916954168153096,23.5595703125,8.675741770892486e-06
4017,46.1567,-122.152802,35981.543042331046,236.40681453943398,35969.59867182715,36206.00548636659,4.349915055643597,23.62060546875,2.2673785936260563e-06
4018,46.158798,-122.151497,35804.45380933142,233.67247250165383,35792.64067518367,36026.31314768532,1.8536575048883934,20.843505859375,7.819274057431605e-07
4019,46.161499,-122.149498,35587.44701494085,212.7176255985978,35575.8546829048,35788.5723085034,4.765717119653747,44.403076171875,1.4592562179540404e-06
4020,46.163799,-122.147697,35407.16367088857,183.42975824511086,35395.960597547564,35579.390355792675,5.709939970075596,45.166015625,4.258287651794028e-06
4021,46.165501,-122.147797,35230.48781987335,167.97777237036644,35220.00220912073,35387.979981491095,2.4029809503150714,7.476806640625,1.1810845340249659e-06
4022,46.1665,-122.145599,35196.80256627752,136.5448135635379,35186.57063056386,35323.1154441274,1.8408753133799198,32.16552734375,1.3102759155865944e-06
4023,46.167702,-122.144096,35121.74393224925,117.4810818758342,35111.46463490625,35228.94571678209,3.4466176054101516,40.4052734375,1.4227951061014305e-06
4024,46.1698,-122.145599,34861.48313353567,120.12628265752573,34851.506587204676,34971.6328698622,2.5226228862024414,44.708251953125,9.210775833685651e-07
4025,46.171101,-122.147797,34660.40396731429,134.1533663109294,34650.66311340315,34784.81647971408,7.093300482458331,43.39599609375,3.337902651849367e-07
4026,46.1721,-122.149101,34518.133238425056,150.18033464031032,34508.301495138505,34658.481829778815,2.205550542296115,15.19775390625,6.204112546290086e-07
4027,46.173401,-122.148598,34401.624831059155,136.7463904278993,34391.92343590711,34528.66982633501,2.5882667976116593,43.670654296875,8.182567257285702e-07
4028,46.1749,-122.148003,34268.19165274962,123.45638807051,34258.76386545227,34382.22025352278,7.964303118459693,14.129638671875,1.0868571755439738e-06
4029,46.176102,-122.147797,34152.84434312221,113.25914836830634,34143.61703959458,34256.87618796289,2.3578051191855316,16.66259765625,1.5427074436592835e-06
4030,46.177601,-122.146103,34055.18711163703,84.25186680467596,34046.33987181431,34130.59173861898,2.219984006777287,37.53662109375,1.5641875620382175e-06
4031,46.179298,-122.147202,33848.35276525953,81.24870060788089,33840.072666510074,33921.321367117955,2.1946835270405267,23.895263671875,2.4732916153398024e-06
4032,46.181801,-122.1464,33621.52420835806,71.22695337541518,33613.438788734384,33684.6657421098,2.7430419996986766,21.66748046875,1.1238904825876369e-06
4033,46.183601,-122.147499,33404.315050754914,73.53961168161914,33396.479165641,33470.01877732262,5.424370916623307,8.11767578125,6.650282627438087e-07
4034,46.1852,-122.147903,33229.98386111657,73.50533683309186,33222.20466754659,33295.71000437968,2.336366757347182,13.092041015625,1.300143577604097e-06
4035,46.186699,-122.146698,33118.54299750014,58.258076920188614,33110.87039989214,33169.12847681233,2.043545046543955,16.998291015625,1.95404718008682e-06
4036,46.188301,-122.1465,32964.09301447794,51.63436532723426,32956.75928951718,33008.39365484441,2.4829673109295687,14.892578125,1.1870824572236794e-06
4037,46.189499,-122.146301,32850.446516824246,53.62345136173826,32843.084151353585,32896.70760271532,2.6315955538717457,14.251708984375,8.098810356608806e-07
4038,46.190399,-122.144997,32803.77770890811,48.562485702139384,32796.17503237985,32844.73751808199,2.7421668011335547,17.120361328125,1.2428754961781965e-06
4039,46.191002,-122.143501,32793.824213020824,43.46135480879457,32785.76199950318,32829.22335431197,2.538115542620929,11.16943359375,6.283994843333133e-07
4040,46.192001,-122.142502,32727.97733379473,39.408545379665156,32719.83962330315,32759.248168682814,2.5552200868587156,9.735107421875,5.439482488329465e-06
