station,lat,lon,dist_m,path_length_diff_m,sta_lta_amp,pre_shot_rms
4001,46.166599,-122.189499,33638.075655846624,27.01467720659275,2.501305202768364,1.2108745507823335e-06
4003,46.1665,-122.183998,34062.59394916224,29.32553238896071,1.998830351448008,4.925629534473632e-07
4004,46.1646,-122.182297,34209.54078066106,29.095606124974438,1.867521100015811,5.721538720055714e-07
4005,46.162701,-122.182198,34234.368883711104,30.395928158010065,2.2096906406010066,1.1900915034690663e-06
4006,46.1609,-122.180397,34390.419798408766,45.896386809516116,2.7252695495819546,3.4059487576361065e-06
4007,46.159698,-122.178101,34579.27009712184,33.89955896430911,2.783669926631748,6.375098066065674e-07
4009,46.1586,-122.173203,34967.4532588144,34.304599576687906,3.535701980119855,1.8558877117728692e-05
4010,46.157501,-122.170502,35186.99178415108,29.321314432585496,2.4964890836817246,9.82764326480346e-07
4012,46.157501,-122.1642,35671.424737593596,28.966073669442267,1.8622983771037396,7.535651364131336e-07
4013,46.1567,-122.1623,35826.25422859203,30.38761551334028,2.4668476197214515,8.782270414984675e-06
4014,46.155102,-122.1614,35913.53660512248,32.222974049109325,3.257696246493435,5.526254296564338e-06
4015,46.153702,-122.158302,36168.02252193623,34.085555371508235,2.0143233114703416,3.392645289952696e-06
4016,46.1549,-122.154404,36453.36023737753,32.03979906968743,3.3075900669718523,1.5898872044964115e-05
4017,46.1567,-122.152802,36556.3359287946,29.959588930352766,8.354187654471946,1.26298730011795e-05
4018,46.158798,-122.151497,36634.64316506486,32.33925387668569,2.038709811189237,3.53156779486319e-06
4019,46.161499,-122.149498,36762.335030706265,33.83740096628753,2.5922806200017496,3.7576991364896552e-06
4020,46.163799,-122.147697,36880.75265007388,40.590190482609614,4.5819656178882475,1.6635140508722106e-06
4021,46.165501,-122.147797,36859.226412756325,39.312391650499194,2.070864868347188,5.831353772927302e-07
4022,46.1665,-122.145599,37020.92877942108,40.19460176427674,6.437939891457031,2.2546143927710855e-06
4023,46.167702,-122.144096,37128.02495950202,49.07714381207188,8.17781776725026,6.335850727078705e-06
4024,46.1698,-122.145599,36998.0732667937,61.15277267179772,8.995390358579678,1.1664070941765787e-05
4025,46.171101,-122.147797,36820.56356614338,69.39287128653086,6.757223218140718,5.505997360509923e-06
4026,46.1721,-122.149101,36714.199585621136,82.28787237154756,8.09574707177339,8.236186196658549e-07
4027,46.173401,-122.148598,36745.93586959996,87.4892941168946,3.1856702706870776,3.7693432286000345e-06
4028,46.1749,-122.148003,36784.413473009554,95.1068475566135,4.044436959588914,1.8171810063482877e-06
4029,46.176102,-122.147797,36794.9039175243,107.82075613352208,1.7742398295429527,1.9037948671960542e-06
4030,46.177601,-122.146103,36919.57188286002,115.57246916431177,2.944030069481685,4.3689909703044966e-06
4031,46.179298,-122.147202,36828.818556906226,123.91310806926776,2.6181441645696064,1.3242921446041444e-06
4032,46.181801,-122.1464,36883.72235948334,148.30670578424906,2.08384521291689,1.4322056174976816e-06
4033,46.183601,-122.147499,36795.14935290643,171.87889335450745,2.563360148587797,9.066921408412669e-07
4034,46.1852,-122.147903,36761.551016375495,197.53146495341207,3.3409190008157847,1.1606446638734859e-06
4035,46.186699,-122.146698,36853.09805209217,214.49286670167203,2.136998544151182,1.910565608849663e-06
4036,46.188301,-122.1465,36867.636211294564,235.57976312843675,2.7741080705408656,6.707187138971114e-07
4037,46.189499,-122.146301,36883.00169482003,255.72288688653498,3.137682997992866,4.433089225197781e-07
4038,46.190399,-122.144997,36983.9840514689,267.76994728287536,3.3783193460605916,1.353196627028165e-06
4039,46.191002,-122.143501,37099.83041037335,270.4558152636673,2.8957294251657206,1.6028822933405248e-07
4040,46.192001,-122.142502,37177.80865619236,271.4867607006672,3.6660520892415605,6.031010765840536e-06
4041,46.192501,-122.140099,37363.85104872923,267.0236511679468,2.8051901688849137,3.466534216168104e-07
4042,46.192799,-122.137199,37588.06593816433,253.68646173612797,2.0699072856833016,1.2071460226302314e-06
4043,46.194199,-122.1353,37736.73731172725,226.4526851463088,3.2614854421006316,3.2074778754825044e-06
4044,46.195599,-122.1362,37670.01123019604,244.30565075769846,2.2167516487490504,6.252561841662967e-07
4045,46.196701,-122.139198,37441.269159186675,279.9313453095165,2.400858813536961,3.138040027103191e-07
4046,46.198002,-122.139099,37452.5261059861,274.06898955383804,1.9956995564174675,6.595048302267272e-07
4047,46.199799,-122.138496,37504.95785533105,262.67546608163684,3.034046601851008,2.893990334971134e-07
4048,46.200199,-122.135803,37714.156678259154,251.02744065010484,4.213594182878761,2.381612052652267e-06
4049,46.2019,-122.135696,37729.15781221593,250.87046468756307,4.849600841436523,4.3118492751612635e-07
4050,46.203499,-122.136597,37666.88902038667,232.47544447457767,6.939144985442636,1.9981662102108762e-07
4051,46.205502,-122.136902,37653.60436214043,212.29295753998304,2.446717711260475,2.5917810426328423e-07
4052,46.207802,-122.136703,37682.30817319295,198.58985635163117,5.013792774529918,3.0902093538534446e-07
4053,46.2099,-122.138,37596.10935257319,159.25557337708597,2.4549821035016755,6.331513624723821e-07
4054,46.211601,-122.138702,37554.25651408591,130.5130336936636,3.0674592001342433,1.1676197357943857e-07
4055,46.212898,-122.139297,37518.410189993156,118.75444677245832,2.2117378843675777,7.079799210502455e-07
4056,46.212799,-122.141899,37317.35065518474,125.4299809114309,2.244186176672195,4.3233250435135677e-07
4057,46.212799,-122.144096,37148.249181568615,127.31107292282104,2.3610084310248407,1.2163553396826268e-07
4058,46.212799,-122.146797,36940.361085686076,129.18458705377998,2.020513093412707,1.165242363974226e-07
4060,46.2146,-122.150803,36647.11985741483,105.42925811706664,2.214662682021826,1.3313037638645702e-07
4061,46.216202,-122.153603,36446.14079926097,74.01277912504156,1.9654279346076984,1.0586638996407588e-07
4062,46.217999,-122.153397,36479.17061285502,65.59689850989525,1.7711108300301346,2.0259646369143134e-07
4063,46.219601,-122.1549,36379.95525817626,63.46091682518454,2.3291643343336097,3.850308461656206e-07
4064,46.220699,-122.155998,36307.30910863721,50.318420817631704,2.48356114602416,1.2274309831324982e-07
4065,46.223,-122.1576,36210.2190661303,42.485919806909806,2.78984375898705,1.211630821063743e-07
4067,46.2257,-122.160004,36058.64443773903,37.439283747538866,3.368640667146354,1.5878234516341426e-07
4068,46.226398,-122.1605,36029.53603678546,35.72581831797288,2.503081757382862,2.3084854319021463e-07
4069,46.227299,-122.160797,36018.5290894658,32.18167785574042,1.9988206614292678,1.909630775881984e-07
4070,46.227901,-122.159599,36118.28086453031,31.30483944326261,2.390878264785257,2.396844509367269e-07
4071,46.228901,-122.159302,36154.5489554423,28.640700413867307,1.9320148359775844,3.429411611995806e-07
4072,46.227699,-122.161697,35954.905677195704,31.341293028795917,2.571282618627503,2.5258695737601655e-07
4073,46.227501,-122.162804,35867.48201456021,30.46636332153139,2.283220338226629,1.6197433698581286e-07
4075,46.228401,-122.167503,35519.87444976064,26.644639889651444,2.319916684282371,6.998843941628627e-07
4076,46.228001,-122.1698,35338.53717739277,27.16043075876223,1.9871960339108206,5.83676613008847e-07
4077,46.228298,-122.172203,35158.68995719018,26.23140222850634,3.3787995206981485,5.998463400508785e-07
4078,46.229401,-122.174004,35036.434979414946,25.26427676379535,2.299205408192713,6.542365292731155e-07
4080,46.232899,-122.178101,34775.75858642433,25.038975288807706,3.531826903334716,1.8179871606592947e-06
4081,46.234501,-122.177902,34816.51046659438,24.037314476649044,2.5788637165510826,1.0449930844259731e-06
4082,46.236099,-122.177803,34850.43822716947,24.679801301572297,2.767884413180392,5.56849832020964e-07
4083,46.237301,-122.177002,34931.898799806666,25.433616354537662,2.559146742037055,5.093191072670576e-07
4084,46.238701,-122.176399,35002.1889994347,26.525301954236056,2.07856994342119,6.615764545176917e-07
4086,46.238998,-122.175003,35113.737249782775,26.7559290477584,2.315963513065556,6.084693944214867e-07
4093,46.237999,-122.202003,33040.84592295488,27.36986074763263,3.1835762711502347,1.4073621680126015e-07
4094,46.238098,-122.205002,32814.60251141774,28.109726102404238,2.21514729212969,2.051006660358697e-07
4095,46.237202,-122.208,32570.0044008588,32.33000007437295,2.3026002655623006,1.1056078791617906e-08
4096,46.2369,-122.210999,32336.321810140773,25.00214043622327,3.715527309481816,1.387863489178575e-07
4097,46.234901,-122.212303,32200.90779765515,25.368814383917197,2.074446910831052,1.9276097620921542e-07
4098,46.2327,-122.213303,32086.50712924196,23.614172609264642,3.4238214655701333,1.2680440408914748e-07
4100,46.230999,-122.218903,31630.954092519652,22.66212444355915,2.246501269484988,2.781595091497955e-07
4101,46.231602,-122.222198,31389.77206051015,23.32531175290569,3.4775687280734497,2.6558671901162837e-06
4102,46.229599,-122.223297,31272.76523882043,24.431338689886616,2.2043024871477863,3.3330822337638864e-07
4103,46.228001,-122.224197,31178.63002852809,25.848231641542952,2.2521666143812515,7.535687206890392e-07
4104,46.2258,-122.223999,31160.341015256665,21.290156786293664,3.271811604152564,1.4243953000190868e-06
4105,46.223598,-122.223396,31174.95953823588,20.971174483049253,1.763788692264721,1.7491329002408e-06
4106,46.223701,-122.227097,30893.12296960802,19.97243851050007,2.0234731542782907,9.364864694991655e-07
4107,46.222698,-122.230499,30618.7674301339,19.166607568338804,2.61407401180658,9.379303336485594e-07
4108,46.2216,-122.232697,30435.53531051766,18.900327410156024,3.460196119866556,1.2384138658240774e-06
4109,46.219799,-122.234901,30243.09823791049,18.364743795747927,1.7895938268373315,1.4599922551244096e-06
4110,46.217999,-122.235802,30151.667713192342,18.038006186496204,3.261786887392457,8.086948950451219e-07
4111,46.215698,-122.236702,30055.881893749487,17.679388876284065,2.083337348707288,3.3540737299376215e-06
4112,46.214802,-122.2407,29739.022718478387,17.9454775106351,6.568346320638437,9.594600386580988e-06
4115,46.210201,-122.252197,28808.980072418715,22.161836911898718,1.8797545954072845,1.6790041056666263e-06
4116,46.209202,-122.252098,28807.510368648607,21.2325866520805,1.6890098387720256,3.339025634904592e-06
4117,46.207802,-122.249001,29033.843298051674,18.200622740681865,3.9728211283142545,4.2490438904879436e-06
4118,46.206799,-122.2463,29233.76152640544,17.317408468716167,2.762674441243336,7.371701523835303e-06
4119,46.206799,-122.243301,29464.651938616356,16.778722985458444,2.4293766945484725,1.8716101772684256e-05
4120,46.205799,-122.241302,29611.147483752913,15.999088938773639,1.6676410742813967,8.073854798083123e-06
4121,46.2062,-122.239601,29745.05662619943,15.852440981179825,1.9090749997535421,1.117936852212725e-06
4122,46.205399,-122.237198,29924.402336596966,15.109551379489858,2.0493318369375277,3.877206915608726e-07
4123,46.205002,-122.235001,30090.915060281593,14.752571643704869,2.5989829415725385,2.305468562931667e-06
4124,46.2043,-122.233398,30209.783085738196,14.45594517313657,2.2413811700095696,2.072898408704639e-06
4125,46.2029,-122.2342,30139.360006553125,14.137802346154785,2.540993610378562,3.1295061457167385e-06
4126,46.201099,-122.235001,30067.679139358846,14.034624707550392,3.585391978599432,2.3838535260448177e-06
4127,46.1992,-122.234299,30112.773628428342,14.623282499975176,6.840256370127645,2.7405289539954087e-06
4128,46.197498,-122.237,29897.56819451557,14.673068340129248,1.6477336921827206,2.120817701248053e-06
4129,46.1959,-122.237,29892.18639683484,14.37746936606709,2.642985120096139,2.091622326653391e-06
4130,46.194302,-122.237602,29841.400534148193,13.658887671201228,2.3066708170470593,1.6207591188396957e-06
4131,46.192101,-122.236702,29906.628974297506,13.775850603200524,2.4643629328873766,4.751949440065843e-06
4132,46.190201,-122.234299,30090.090247609467,15.158094152171543,2.9265433916350747,5.157257843001219e-07
4133,46.1903,-122.230698,30368.14084317918,13.87714207679528,8.787207080061952,3.2605920189073915e-06
4134,46.187801,-122.230003,30421.308429078825,12.62423395055157,4.750124524201206,1.3037193040022503e-07
4135,46.186199,-122.227303,30630.773014884133,11.473010253674147,3.5271500073906497,6.156170947148515e-07
4136,46.184799,-122.223701,30910.58116833918,10.95037186029731,1.955328393186293,5.5258483610781836e-08
4137,46.182499,-122.223198,30953.955245642515,10.714589674964373,2.1652594705008226,1.199592007260501e-07
4138,46.180302,-122.222702,30998.546007316705,12.065204036556679,2.165751267946077,9.766794995795738e-07
4139,46.178398,-122.220901,31144.53428875377,13.092031823725847,2.5275292448063595,1.718664911927105e-07
4140,46.176102,-122.219101,31293.72908793178,11.535741178286116,5.06739141209657,3.908763337892935e-06
4141,46.175499,-122.217499,31420.348606346986,11.401299690802261,1.874293729371885,8.90388107514024e-08
