station,lat,lon,dist_m,path_length_diff_m,sta_lta_amp,pre_shot_rms
4064,46.220699,-122.155998,49086.930084966574,3.263740521222644,3.332901410774455,9.633999801490117e-08
4065,46.223,-122.1576,48936.354247706804,3.0882409878613544,3.5251919722768936,1.6821790389216747e-07
4067,46.2257,-122.160004,48783.0172874173,3.8852831313270144,2.8787498056155236,1.8020390158912777e-07
4068,46.226398,-122.1605,48738.46742163775,4.3541826100845356,3.3782522489854343,2.4233724471849564e-07
4069,46.227299,-122.160797,48666.74544134195,4.451248186924204,2.41498657328368,1.9211560223377552e-07
4070,46.227901,-122.159599,48560.39163548075,5.648846344302001,3.327715676839111,3.230354619868474e-07
4071,46.228901,-122.159302,48454.588311128515,5.752591028649476,2.137290031595502,2.9757029793610127e-07
4072,46.227699,-122.161697,48667.170699379494,4.598613883012149,3.202395670582929,2.426293734259226e-07
4073,46.227501,-122.162804,48732.15462819251,3.98305660677579,2.407946091280306,1.7173851606847858e-07
4075,46.228401,-122.167503,48847.29096444333,5.449505984695861,2.2633241222509506,4.3508622833284635e-07
4076,46.228001,-122.1698,48982.24883665985,4.905350267661561,2.100872297524127,5.438015296940065e-07
4077,46.228298,-122.172203,49057.66175021893,4.250172980100615,3.305794837198159,8.696391764463361e-07
4078,46.229401,-122.174004,49033.43373494801,3.9679747682384914,2.710477914211417,9.383228713260175e-07
4080,46.232899,-122.178101,48890.326197646034,5.231809100230748,2.119900944937372,1.9599218315531627e-06
4081,46.234501,-122.177902,48735.08137998206,5.859913816137123,3.220118328404458,1.1481190432032786e-06
4082,46.236099,-122.177803,48584.76482645476,6.609231325324799,2.503945706138633,5.387883762080724e-07
4083,46.237301,-122.177002,48439.79606381265,7.156052504804393,3.402779648099774,5.262845048751378e-07
4084,46.238701,-122.176399,48285.51662402039,8.018208838322607,2.7308799059182225,5.639085614880103e-07
4086,46.238998,-122.175003,48196.90145018917,7.754963650710124,2.2495483696395393,5.377884997079083e-07
4093,46.237999,-122.202003,49503.87369461499,14.901239836566674,2.119530318357899,3.28419462838379e-07
4094,46.238098,-122.205002,49633.63174671875,15.669146559463115,3.5557695125616307,3.88426097045608e-07
4095,46.237202,-122.208,49852.29761472455,15.392081666686863,2.246793452066688,8.514689927600239e-09
4096,46.2369,-122.210999,50018.73816794329,15.229007674803142,3.254987426616229,3.7241683626242333e-08
4097,46.234901,-122.212303,50256.53189413154,13.394395616749534,6.773145369033405,3.6481729608319096e-07
4098,46.2327,-122.213303,50498.1525694702,11.482036883789988,3.421221390986015,3.5029407347405327e-07
4100,46.230999,-122.218903,50909.9550451087,13.233688960433938,2.8334622097913913,2.8058221511446833e-07
4101,46.231602,-122.222198,51011.37853012243,15.0227228228905,3.334736923173316,1.6473119920721473e-06
4102,46.229599,-122.223297,51239.546856018766,14.903737504930177,2.1421591416796764,2.5794183060858794e-07
4103,46.228001,-122.224197,51422.737125924315,14.124256142087688,2.287454856957428,6.569923321666815e-07
4104,46.2258,-122.223999,51607.880984140764,12.228967680617643,3.3510356307613205,4.3228876598515023e-07
4105,46.223598,-122.223396,51774.764557507806,14.935994007486443,1.965531172655783,1.122018155937948e-06
4106,46.223701,-122.227097,51938.32498233377,11.861829921610479,1.8062495668717369,1.1811055049777906e-06
4107,46.222698,-122.230499,52186.34888726827,11.87047185422125,2.001902815657424,8.6144677098281e-07
4108,46.2216,-122.232697,52386.436666069865,12.447194408996438,4.2479765753036,6.06377785898014e-07
4109,46.219799,-122.234901,52648.79239179029,11.861974084851681,2.931664122236304,1.2815300034505853e-06
4110,46.217999,-122.235802,52849.80993962163,12.542135150317336,5.262500615259907,8.367635085377777e-07
4111,46.215698,-122.236702,53095.10427747041,17.35638930746063,2.2014893962353135,3.856375566156868e-06
4112,46.214802,-122.2407,53361.86647943567,12.853476769960253,5.027165179622277,3.2221850295065884e-06
4115,46.210201,-122.252197,54309.62654476467,45.276803650762304,3.53120646378152,4.3017931454986526e-07
4116,46.209202,-122.252098,54392.49626717823,30.019480265713355,3.3518794745399942,4.628564973939554e-07
4117,46.207802,-122.249001,54369.17644055145,14.907677027258615,2.1868356561581166,3.29321714474048e-06
4118,46.206799,-122.2463,54330.78018531013,12.71148306302348,7.336164920439882,4.054831998420682e-06
4119,46.206799,-122.243301,54190.62244821448,10.07472226828395,9.44287584620443,2.899278447256253e-06
4120,46.205799,-122.241302,54186.30499021855,7.344092421823007,3.808777664371639,2.3694790374653866e-06
4121,46.2062,-122.239601,54071.794006379954,7.46010582116287,2.346320757942372,8.793171235921965e-07
4122,46.205399,-122.237198,54032.042790027604,5.42224240849464,2.3600900069767388,7.62162208770774e-07
4123,46.205002,-122.235001,53966.38906768727,4.511603837214352,3.305691599149681,4.120812424482728e-07
4124,46.2043,-122.233398,53955.696428178846,4.570431713218568,2.20230169354163,7.941239985612729e-07
4125,46.2029,-122.2342,54117.73215584712,4.812337858827959,3.576138689681842,8.841591728481018e-07
4126,46.201099,-122.235001,54315.70166976059,9.146022628432547,7.524353107127281,6.493727844069291e-06
4127,46.1992,-122.234299,54454.186092151525,22.21829146847449,2.8600635207110736,1.0523611300613232e-06
4128,46.197498,-122.237,54729.8719747251,12.55185326028004,1.8880556662729142,4.246246136935914e-07
4129,46.1959,-122.237,54873.45729614422,13.504958968085703,8.719990386366485,5.378915838034765e-07
4130,46.194302,-122.237602,55044.50296143311,14.984291931054031,2.687396751327542,5.670493657064521e-07
4131,46.192101,-122.236702,55202.166577449236,19.900638049206464,2.561711970252186,4.703800372111934e-07
4132,46.190201,-122.234299,55265.94386605107,34.66384154001571,2.371725062451829,3.5205522104710204e-07
4133,46.1903,-122.230698,55096.18106468634,50.85495267780061,7.671885161798089,1.1771238431997908e-06
4134,46.187801,-122.230003,55292.52611135403,69.89649675215333,3.0079909592805922,9.21974919487853e-08
4135,46.186199,-122.227303,55319.438175291754,93.0137672772471,2.3007763593229384,1.4159012135090876e-07
4136,46.184799,-122.223701,55289.78904985562,119.33258880530775,2.7527762314276787,1.4383350135582507e-07
4137,46.182499,-122.223198,55479.053942464314,142.49203084582405,3.0675208106282237,9.727711303202784e-08
4138,46.180302,-122.222702,55659.690740437254,166.96159787227225,2.448541877277827,2.424277986343883e-07
4139,46.178398,-122.220901,55757.66487005126,191.21585154215427,3.9997520381308425,1.057375305322751e-07
4140,46.176102,-122.219101,55892.95856928701,200.58419660147047,8.047608505665387,1.3231246890498793e-07
4141,46.175499,-122.217499,55880.62797105976,217.22014975247293,2.505905141713802,1.2858936327229712e-07
4150,46.165401,-122.197601,56003.60546254591,129.59539474239864,3.6908976407037537,9.364684178019441e-07
4151,46.1633,-122.196098,56142.59815616649,98.5168684496457,2.783383835531899,4.04615535484235e-07
4152,46.163399,-122.192902,56005.499722629494,85.8742165917065,3.3365010727759947,3.84487414312853e-07
4154,46.162102,-122.191399,56069.42019379466,86.75764831098058,2.2511114670307473,3.384327129425499e-06
4155,46.159801,-122.192299,56324.66909785427,80.34642771445942,6.311707520283392,5.046915139067106e-06
4156,46.157398,-122.192902,56578.0426638536,68.66711842373479,2.661154279773382,2.6126083105759757e-06
4157,46.156399,-122.189598,56543.91358069853,50.05681531919981,4.821358225518697,5.681206979682868e-06
4158,46.155399,-122.1866,56523.08950724199,41.69310763805697,4.27684885215125,1.1973152660368849e-05
4159,46.153301,-122.185402,56678.56415256611,29.32415403619234,5.111686982289897,2.8472847590033984e-06
4160,46.151402,-122.184998,56846.00207615219,24.36703918461717,2.4752449915845,2.491105397291788e-06
4161,46.149799,-122.1856,57023.728904758005,23.12081591424794,4.067413841737071,4.380914625757296e-06
4162,46.148399,-122.185501,57155.05605701416,21.153077197246603,3.513757321955264,4.540522352516378e-06
4163,46.1469,-122.184303,57254.17144877135,18.244216879204032,4.842897386967461,2.659350332662354e-06
4169,46.142799,-122.186096,57719.16482649913,27.880776902085927,2.3764379204185824,5.598506513660875e-07
4170,46.143799,-122.189499,57752.234341220064,38.94891771165567,2.2330100814790605,5.098500674006183e-07
4171,46.145302,-122.191902,57699.651893490125,51.235471004511055,6.245720998540425,4.107270115612887e-06
4172,46.147301,-122.193001,57549.80789330984,71.12811276675347,4.144667407390087,2.827030090577626e-06
4173,46.145302,-122.195396,57834.88592537717,64.01296584682859,6.66907841945183,1.3939190828272307e-06
4174,46.144299,-122.197601,58016.97257417952,65.85659089481487,4.335456162038529,9.087612421809548e-07
4175,46.1436,-122.200897,58212.709059878354,71.85460214890918,2.369625130817736,5.400588177713349e-07
4176,46.143398,-122.2043,58365.67619521608,88.4138068565735,7.562019565424793,6.353136941808685e-07
4177,46.1413,-122.206596,58656.74536818338,92.2549938087468,4.841327603496706,3.043294872173959e-06
4178,46.1404,-122.209198,58845.49437285085,102.40906366337731,9.68857242126543,1.9728736992348583e-06
4179,46.1394,-122.2099,58968.746548367875,101.51175061643153,3.0162733629455873,7.067778452012172e-06
4180,46.1385,-122.212502,59157.723305858846,108.06156944959366,2.192988831037313,3.703035118065345e-06
4181,46.1367,-122.213699,59376.904633669656,105.56632581340818,4.433325519635349,1.8715533711822073e-06
4182,46.139999,-122.207001,58797.099338983164,88.21498673451424,4.15944136185732,6.962056191874045e-06
4183,46.1399,-122.203903,58684.961053968924,75.67543023850158,2.252729044150657,4.098753670786416e-07
4184,46.139801,-122.200699,58569.4570297598,64.38032518342516,3.9701092182836426,1.5930938176532618e-06
