station,lat,lon,dist_m,path_length_diff_m,direct_path_length,diffracted_path_length,sta_lta_amp,peak_freq,pre_shot_rms,arr_time
4031,46.179298,-122.147202,19920.02168941545,133.02245708692135,19914.466821018977,20047.4892781059,2.114811651041688,44.342041015625,6.962980499789077e-07,60.488
4032,46.181801,-122.1464,19974.227939691744,156.2799926246298,19968.71035785503,20124.99035047966,2.2516894848888853,35.58349609375,4.967879844999429e-07,58.848000000000006
4033,46.183601,-122.147499,19886.25295144843,178.54751333235254,19880.91233332594,20059.459846658294,1.8393942166776,15.106201171875,3.411848992439931e-07,60.848
4034,46.1852,-122.147903,19853.96096917911,203.5288861698682,19848.608141944555,20052.137028114423,2.8081557154915577,12.451171875,1.1729117158393161e-06,58.2
4035,46.186699,-122.146698,19947.399371447496,218.04449765689424,19942.04825763129,20160.092755288184,2.36588158129956,22.430419921875,1.918671719333183e-06,57.599999999999994
4036,46.188301,-122.1465,19964.65673001057,238.80405107918705,19959.52040481241,20198.324455891598,2.018425374253962,15.045166015625,5.052049726344338e-07,57.744
4037,46.189499,-122.146301,19982.527575771823,259.32760528761355,19977.31532069473,20236.642925982345,2.6252292382939126,13.97705078125,3.5087340409000755e-07,58.959999999999994
4038,46.190399,-122.144997,20085.624723559955,272.973782450772,20080.13824984719,20353.112032297962,3.2508981327680466,6.988525390625,4.1141405154933235e-07,58.296
4039,46.191002,-122.143501,20202.980935632742,284.39205667872375,20197.06444062027,20481.456497298994,2.458826987975769,5.096435546875,1.739872651095594e-07,61.672
4040,46.192001,-122.142502,20283.704979404105,280.673618776651,20277.674056942826,20558.347675719477,2.8465121421936415,4.150390625,2.4855861644774913e-06,63.048
4041,46.192501,-122.140099,20471.11806453047,281.8277730670925,20464.73384101418,20746.56161408127,1.8896352973464026,36.376953125,2.8648202013220763e-07,63.496
4042,46.192799,-122.137199,20696.088816259467,271.3476326752316,20689.568189181176,20960.915821856408,3.264641805356001,19.53125,6.576433977944544e-07,63.544
4043,46.194199,-122.1353,20849.175545192214,255.87870068629127,20842.649407818695,21098.528108504986,2.4548384577912716,43.701171875,4.382539113176262e-07,59.736
4044,46.195599,-122.1362,20787.5704748318,241.63437450921992,20781.087059979043,21022.721434488263,2.1609803464108395,16.05224609375,2.789241700928375e-07,60.480000000000004
4045,46.196701,-122.139198,20563.528725325086,271.671277160709,20557.21973080037,20828.89100796108,2.3801796952957814,6.77490234375,2.825396901573868e-07,62.120000000000005
4046,46.198002,-122.139099,20580.392993163172,288.85362512325446,20574.146475274127,20863.00010039738,2.4226602809261615,21.97265625,7.006326355744825e-07,59.912
