station,lat,lon,dist_m,path_length_diff_m,sta_lta_amp,pre_shot_rms
4001,46.166599,-122.189499,75302.852997843,1.30096152445185,3.208331444837422,1.3689991694811635e-07
4003,46.1665,-122.183998,75600.73362721864,0.5750128810468595,2.8208697468512387,7.404381436850057e-08
4004,46.1646,-122.182297,75549.35090575421,4.392139871517429,2.2829814989201926,1.0140586800283692e-07
4005,46.162701,-122.182198,75409.17504269155,2.844263553764904,6.509091934478947,1.4997225189666434e-07
4006,46.1609,-122.180397,75372.27285281553,4.95869405126723,5.0382308217094,4.493515876973775e-07
4007,46.159698,-122.178101,75409.61241444488,1.9927426027570618,2.3553387876543295,2.672481131621753e-07
4009,46.1586,-122.173203,75602.4179293824,3.703656327968929,2.342572703425943,3.66328159265753e-07
4010,46.157501,-122.170502,75672.15567051529,1.4786732580105308,2.2913822696352457,5.348957191935742e-08
4012,46.157501,-122.1642,76030.08078078741,1.00559077107755,2.9068295772842534,3.263549471733433e-08
4013,46.1567,-122.1623,76078.19385796975,0.6821307354839519,3.0371774108354304,2.6238407921717387e-07
4014,46.155102,-122.1614,76009.91650321192,0.6245404684450477,2.7287484306696976,1.7590212767833468e-07
4015,46.153702,-122.158302,76082.78164927312,1.4538344071188476,2.3746191438327338,3.3432082931577646e-07
4016,46.1549,-122.154404,76395.5976131787,0.3073118127504131,7.332159991368149,5.73244882821207e-07
4017,46.1567,-122.152802,76621.45634768828,0.1030816864076769,2.6437732711813835,1.0468764872085079e-07
4018,46.158798,-122.151497,76852.55485561401,1.2771482094249222,2.5341193490245613,9.43140188654969e-08
4019,46.161499,-122.149498,77168.52567272069,0.626340856164461,2.4091548558377567,1.1416415015946878e-07
4020,46.163799,-122.147697,77443.36843967137,0.16857083811191842,2.7538270192374403,6.655500756155741e-08
4021,46.165501,-122.147797,77565.05120281233,0.0004994650953449309,3.262822836927308,8.694958561211013e-08
4022,46.1665,-122.145599,77765.30162044862,0.13476067293959204,2.299430391475216,7.146032565806632e-08
4023,46.167702,-122.144096,77941.09780651158,0.9585807865078095,2.464948674602474,1.2021417946936232e-07
4024,46.1698,-122.145599,78012.90695958979,11.06920185785566,4.611628399638193,1.4934891884718072e-07
4025,46.171101,-122.147797,77985.99060366006,5.9881919476029,3.6916940007999606,1.1419858636353928e-07
4026,46.1721,-122.149101,77987.48686203313,13.017165116616525,2.5256864984036436,6.436607156908117e-08
4027,46.173401,-122.148598,78114.32534056772,10.499289955710992,2.3411655672083382,5.6837231858476606e-08
4028,46.1749,-122.148003,78261.43941401412,9.189748993390822,6.463031562867237,5.5291706474929046e-08
4029,46.176102,-122.147797,78364.1729105419,9.322927886532852,2.0793857555003337,8.814374748186919e-08
4030,46.177601,-122.146103,78573.48899756689,5.261735025997041,2.5182121918438667,1.5707167639168167e-07
4031,46.179298,-122.147202,78640.45702531115,7.060277814249275,4.593101184029112,9.134262661241127e-08
4032,46.181801,-122.1464,78876.17019307693,10.261824808752863,5.208064713095027,1.5067759223294075e-07
4033,46.183601,-122.147499,78951.90016465329,13.36527422835934,2.332186664347406,1.0767141032055985e-07
4034,46.1852,-122.147903,79051.63007046447,19.384534860699205,3.7446271228674317,4.5884103537174925e-07
4035,46.186699,-122.146698,79233.88364422323,17.322880328982137,2.723996413846465,9.16195463391484e-07
4036,46.188301,-122.1465,79367.83854993428,17.329449595548795,3.3931390382000233,1.7628798479380205e-07
4037,46.189499,-122.146301,79470.96725818819,22.093677778815618,2.1329499944243,1.3141905435410636e-07
4038,46.190399,-122.144997,79612.86313803539,23.02658928206074,3.138828118876229,6.511497239228236e-08
4039,46.191002,-122.143501,79742.64457142357,24.890191539016087,2.1527988189858043,4.4302594682388145e-08
4040,46.192001,-122.142502,79875.13193209155,26.01116751311929,2.3830266784994287,5.203636014251284e-08
4041,46.192501,-122.140099,80047.625424108,23.69936709215108,3.3851018202850476,3.958081173802043e-08
4042,46.192799,-122.137199,80232.51834864776,19.18679093469109,2.5672797434875743,5.2632743055133196e-08
4043,46.194199,-122.1353,80445.98757436527,18.828066956877592,3.8434011943559483,6.113106063755705e-08
4044,46.195599,-122.1362,80503.12199897414,24.250557369101443,2.5202641716988614,3.930916200825704e-08
4045,46.196701,-122.139198,80420.84720205495,36.708898490294814,2.5077287041550704,3.7344474670143595e-08
4046,46.198002,-122.139099,80526.65787914478,39.725059860618785,2.8026223499453575,3.432946866469094e-08
4047,46.199799,-122.138496,80698.87702302734,36.25029390810232,3.077852606227337,3.7467134720251084e-08
4048,46.200199,-122.135803,80879.30105660591,30.528082242934033,2.8360057245411205,2.1596365300658124e-08
4049,46.2019,-122.135696,81016.57415661325,34.626255838316865,2.8579223552326694,3.359490777456349e-08
4050,46.203499,-122.136597,81090.33863259638,43.496770502039,2.7791547638076946,3.180117417017705e-08
4051,46.205502,-122.136902,81228.77165335494,53.18972881762602,3.2291368089964285,3.643076398750488e-08
4052,46.207802,-122.136703,81418.47327899653,66.56199109787121,3.177745232406584,2.8384984124773933e-08
4053,46.2099,-122.138,81510.5208086974,81.81477331722272,2.835055509741032,4.3506852606357085e-08
4054,46.211601,-122.138702,81604.83001303619,91.98507795593468,7.301776843099476,2.967815696601941e-08
4055,46.212898,-122.139297,81673.71622228391,103.1047678613395,3.9312669968140095,4.034145165124954e-08
4056,46.212799,-122.141899,81523.5936085588,127.41941540125117,3.0955074230381516,6.447697494666295e-08
4057,46.212799,-122.144096,81403.5792540417,146.82568398285366,2.2612513660785067,5.5182173957976935e-08
4058,46.212799,-122.146797,81256.27951736486,168.24148397607496,2.1256368722285424,7.690556755331173e-08
4060,46.2146,-122.150803,81180.58820109177,213.8754437607422,1.7864009853454708,9.431559421024745e-08
4061,46.216202,-122.153603,81155.8719700466,213.5089961054473,2.406464752371034,6.428145881762797e-08
4062,46.217999,-122.153397,81309.67254003332,196.52042380034982,2.471630701591432,3.648150003921068e-08
4063,46.219601,-122.1549,81356.1364687196,221.4126883809513,3.0087309292663935,9.84675015626461e-08
4064,46.220699,-122.155998,81384.64666888399,185.28862843352545,2.5656621178960295,5.1119406459844644e-08
4065,46.223,-122.1576,81482.65623098549,172.13938106494606,4.216477317488768,1.1755164599848174e-07
4067,46.2257,-122.160004,81570.84332533805,158.6357625546516,2.991483294226134,1.3828952025267025e-07
4068,46.226398,-122.1605,81600.5559140188,157.94214767304948,3.426706750230898,1.6760299529019196e-07
4069,46.227299,-122.160797,81657.28002733055,158.86157614582044,2.0420163437063845,1.8677585820326807e-07
4070,46.227901,-122.159599,81769.46534244422,156.9830908247095,2.8041653666663646,1.341314871699492e-07
4071,46.228901,-122.159302,81865.79765297088,154.5343604133377,2.471542889707729,3.071996743211852e-07
4072,46.227699,-122.161697,81641.67909418205,155.19051120066433,2.4152577766967944,1.9189430697777265e-07
