station,lat,lon,dist_m,path_length_diff_m,direct_path_length,diffracted_path_length,sta_lta_amp,peak_freq,pre_shot_rms
4001,46.166599,-122.189499,73470.33897581516,29.946488835441414,73452.18406554106,73482.1305543765,3.182304617026391,16.2353515625,1.1552926348132474e-07
4003,46.1665,-122.183998,73849.05331570099,45.26789183891378,73829.90765497192,73875.17554681083,2.1322048872519477,22.27783203125,1.1043698287057079e-07
4004,46.1646,-122.182297,74065.15981224361,45.74162460050138,74044.93989095921,74090.68151555971,4.350844992264915,9.033203125,1.293337708013447e-07
4005,46.162701,-122.182198,74172.80115721845,42.498348090215586,74151.88764619821,74194.38599428843,2.0661908242876867,27.89306640625,1.6213760923459266e-07
4006,46.1609,-122.180397,74390.90688240928,56.285791583461105,74368.43601706701,74424.72180865047,2.212760620288211,16.357421875,1.9254534124315846e-07
4007,46.159698,-122.178101,74610.64077040662,39.399977435779874,74588.07594570544,74627.47592314122,2.521269323497894,14.95361328125,6.093740937236384e-07
4009,46.1586,-122.173203,75001.07399327714,48.487761505908566,74977.70026303247,75026.18802453838,2.129399166968875,39.764404296875,1.3548681268916533e-06
4010,46.157501,-122.170502,75242.73751338785,41.69336599826056,75219.32792174893,75261.0212877472,2.0160631706761825,30.242919921875,1.888502815178698e-07
4012,46.157501,-122.1642,75670.07693384822,52.51737212599255,75646.32899960481,75698.8463717308,2.0228427472269526,14.892578125,1.6225308766207133e-07
4013,46.1567,-122.1623,75841.54289751318,52.82070312759606,75817.50030472198,75870.32100784958,3.4986128368049094,44.37255859375,2.284834717098823e-07
4014,46.155102,-122.1614,75987.56704809233,47.191323707971605,75963.21034450173,76010.4016682097,4.339045096867515,10.101318359375,1.453631900887332e-07
4015,46.153702,-122.158302,76272.1858906826,47.82653528175433,76247.4025332553,76295.22906853705,2.5698574139986095,11.90185546875,2.8193823210942886e-07
4016,46.1549,-122.154404,76473.04302249945,59.11826015403494,76448.32040459962,76507.43866475366,2.928033043575095,25.360107421875,3.811591693541861e-07
4018,46.158798,-122.151497,76465.58461536343,87.04458523997164,76441.25983803123,76528.3044232712,2.514299772915395,9.918212890625,9.05653563969753e-08
4019,46.161499,-122.149498,76461.17797614288,108.46445449171006,76437.05735952458,76545.52181401629,2.2873189283859143,7.781982421875,1.1623909574021391e-07
4020,46.163799,-122.147697,76465.34799240237,130.59498013836856,76441.67226283961,76572.26724297798,2.3143126331188797,13.00048828125,6.027091861815217e-08
4021,46.165501,-122.147797,76370.97019237878,131.66359879168158,76348.14502843453,76479.80862722622,3.170708434340432,6.072998046875,8.419391297151749e-08
4022,46.1665,-122.145599,76470.47787784782,137.52100290542876,76447.88232983713,76585.40333274256,3.424091919791692,6.04248046875,5.559313848132448e-08
4023,46.167702,-122.144096,76512.33610776185,151.73070568528783,76489.63024845142,76641.3609541367,1.8906402518169325,32.958984375,1.2582324716876702e-07
4024,46.1698,-122.145599,76302.55358089985,170.77597514864465,76280.16650370177,76450.94247885041,2.5471577026554355,6.256103515625,7.35569945043394e-08
4025,46.171101,-122.147797,76085.56858021277,180.797579193415,76063.44198074042,76244.23955993383,2.606432244609441,12.51220703125,2.8025678629675775e-08
4026,46.1721,-122.149101,75945.3745958636,196.88916072233405,75923.14553109638,76120.03469181871,2.850284149258118,17.9443359375,7.371137278880383e-08
4027,46.173401,-122.148598,75914.36588410956,215.21445626083005,75892.2465382774,76107.46099453823,2.558960353487615,6.378173828125,7.314719950425111e-08
4028,46.1749,-122.148003,75880.05110983891,232.69711515861854,75858.18077237025,76090.87788752887,4.357552230939106,43.853759765625,9.746596809845535e-08
4029,46.176102,-122.147797,75834.10532231019,232.386595677046,75812.41166668074,76044.79826235778,6.029463934805653,36.102294921875,4.315821650504761e-06
4030,46.177601,-122.146103,75876.34722271877,234.2139474122814,75854.99424485464,76089.20819226692,4.2593444325463885,35.70556640625,4.4880196751571896e-07
4031,46.179298,-122.147202,75716.231707002,222.15392770558537,75695.42671466063,75917.58064236621,2.5997892362828785,23.5595703125,1.8039588802283277e-07
4032,46.181801,-122.1464,75648.23831972611,207.7859297333489,75627.53985076475,75835.3257804981,2.4810269606935647,13.12255859375,2.778452064399303e-07
4033,46.183601,-122.147499,75483.79357242143,207.24530910054455,75463.32195162463,75670.56726072518,2.3639410462895554,17.2119140625,2.4142962777052066e-07
4034,46.1852,-122.147903,75377.64048900109,238.8946100173198,75357.18769020257,75596.08230021989,2.4927048489327146,13.153076171875,9.357988783055095e-07
4035,46.186699,-122.146698,75388.37125031084,250.96776823347318,75367.96990286154,75618.93767109502,2.4230875248437522,17.303466796875,1.8043525381589604e-06
4036,46.188301,-122.1465,75324.58156023663,250.99891722769826,75304.45375670493,75555.45267393262,2.0011190317359744,19.989013671875,4.070908879620181e-07
4037,46.189499,-122.146301,75280.6642866717,248.49693959009892,75260.49224739014,75508.98918698024,2.392119222268014,12.26806640625,2.998350764363556e-07
4038,46.190399,-122.144997,75328.20573110558,249.413387793742,75307.76185953993,75557.17524733367,2.666418656767788,17.303466796875,1.1085892816190412e-07
4039,46.191002,-122.143501,75403.5567230027,251.1758020000998,75382.62608302482,75633.80188502492,2.4719697289190963,15.838623046875,8.220799610379611e-08
4040,46.192001,-122.142502,75425.53463414477,224.2316508279473,75404.49544490494,75628.72709573289,5.207612654012813,11.29150390625,2.6170341561679665e-07
4041,46.192501,-122.140099,75569.43239761126,206.32228330701764,75547.95913871491,75754.28142202193,2.658684238380174,16.143798828125,5.795921513557589e-08
