station,path_length_diff_m
4001,101.99576778174014
4003,147.5447377966484
4004,150.70003698631626
4005,138.58561814723726
4006,159.5357191793846
4007,157.38586449993454
4008,164.43851151600393
4009,179.01317325351556
4010,177.54855001829856
4012,213.17694011727144
4013,217.59789260284015
4014,211.5099234563677
4015,216.83234404640825
4016,247.08792242215713
4017,268.0905814853504
4018,276.12437242760643
4019,270.24059510652296
4020,273.262772807273
4021,254.16527374017096
4022,237.3996643622886
4023,218.58642451936612
4024,213.8164102858791
4025,220.1199436401148
4026,230.4469261644299
4027,246.69943944723127
4028,261.82099869554804
4029,273.8137467349443
4030,259.1120006989404
4031,257.64087710087915
4032,252.3129721059595
4033,255.32633417729085
4034,242.0649878746881
4035,213.73513145023026
4036,203.62358365138425
4037,202.05033159555387
4038,184.04219207427377
4039,172.07915993632923
4040,147.85871782549657
4041,121.2474595382846
4042,95.0596404888056
4043,78.18519366349938
4044,73.64848696361878
4045,79.92012597281428
4046,72.9825106750759
4047,58.16928091934096
4048,49.51685563882347
4049,41.97767572635348
4050,38.83599352755482
4051,34.03835350744339
4052,29.160335730372026
4053,27.412246019262966
4054,30.715082255046582
4055,27.50018924361575
4056,33.99034935046802
4057,30.144070489965088
4058,31.871111854758055
4060,35.47576995714189
4061,23.715735917241545
4062,17.116854248495656
4063,20.075710235109
4064,19.372031863065786
4065,16.804949338227743
4067,16.78309045293281
4068,16.75648649377399
4069,16.69293057854884
4070,16.708230484538944
4071,16.654340677261644
4072,16.76548088301206
4073,16.68507983147356
4075,16.86190620407615
4076,16.907605717167826
4077,17.00467011100409
4078,17.122310400365677
4080,17.44095535941051
4081,17.340164339990224
4082,17.421842352639942
4083,17.375236118961766
4084,17.32881070341864
4086,17.315000267277355
4093,19.424829772124212
4094,19.605891437800892
4095,19.978202538921323
4096,19.143567127863207
4097,19.047455963347602
4098,19.05337128019528
4100,19.357408775886142
4101,21.15238024997234
4102,19.138498520387657
4103,19.048734999858425
4104,18.81958246938484
4105,18.824731430853717
4106,19.134338622841824
4107,19.75970809375758
4108,20.404970614610647
4109,20.75884036384923
4110,21.1001907308746
4111,21.657711504583858
4112,22.481524749748132
4115,50.21865619863274
4116,42.04749478677331
4117,26.484437688428443
4118,25.045047770756355
4119,22.28756190436252
4120,21.807907090529625
4121,21.776227249602016
4122,21.30671976944359
4123,21.152606848256255
4124,20.845333088527696
4125,20.828442247038765
4126,20.901190482036327
4127,23.65541502562155
4128,21.00864425972577
4129,20.964324141852558
4130,21.122171003451513
4131,23.05045698855065
4132,21.847744864355263
4133,21.29432626118978
4134,20.553156573250817
4135,20.459077712097496
4136,22.204895899019903
4137,21.985077275065123
4138,21.586201538815658
4139,23.175740217935527
4140,23.9100270251256
4141,23.746060178284097
4150,37.44345916942984
4151,37.26681014191854
4152,50.5424237666266
4154,65.49625562410438
4155,54.85471192192199
4156,48.588204600044264
4157,51.19240599562545
4158,60.0179168272407
4159,54.63984982769034
4160,51.626010127500194
4161,48.870612678001635
4162,46.73351166440989
4163,47.16123519607572
4169,45.161962484369724
4170,47.47305222765135
4171,44.235516956330684
4172,51.00605287801591
4173,46.12779065151699
4174,44.81728580451454
4175,44.39444352130158
4176,51.13883424791857
4177,54.82957341255678
4178,51.2582769516448
4179,56.051836050530255
4180,49.676282898301
4181,44.79220734167029
4182,54.51968790189858
4183,55.64412606302358
4184,52.7932774451765
4185,50.92918081628159
4186,47.17077477737257
4187,45.165336175381526
4188,43.22487738574273
4189,43.126084518306016
4190,43.67914773658049
4191,46.75392000948705
4192,50.37999256220064
4193,49.75747968102951
4194,49.61303626130757
4195,47.518678254615224
4200,47.66691281562089
4201,49.00129422016107
4202,51.70494479130866
4203,52.28980969305849
4204,54.22724978112092
4205,47.426048771892965
4206,48.131712362283
4207,49.852208026171866
4208,54.85857298287374
4209,53.32230630853519
4210,54.136484016053146
4211,58.05495846245685
4212,57.524797305555694
4213,57.58946499207741
4214,58.156870527524006
4215,57.956225627374806
4216,66.9624013647117
4217,66.72642651357091
4218,74.23011850435796
4219,21.981985516697023
4220,22.320658970707882
4221,22.755962866118352
4222,40.31921160710408
4223,65.88235505446937
4224,57.138343763341254
4225,78.96203169887667
4226,66.37482200105296
4227,69.50520790637893
4228,68.67337368914013
4229,47.36152351559576
4230,33.961790483328514
4231,33.06817490369576
4232,33.38463539777149
4233,34.407195579839026
4234,36.09531069652439
4235,35.983909566344664
4236,38.361805865264614
4237,39.82087316300385
4238,40.544897694057
4239,35.91886550075287
4240,42.140764823870995
4241,46.42413049823517
4242,48.43315077189618
4243,46.58968598491629
4244,46.6554698244654
4245,47.94570169603685
4246,47.315484793824
4247,47.219043425771815
4248,46.18098731276041
4249,44.72170415989967
4250,43.57093399488804
4251,44.39391784248437
4252,37.631138779350294
4253,41.04948483274711
4254,38.94015187988407
4255,38.291888088086125
4256,41.64569750820374
4257,40.14947343849053
4258,42.583000953440205
4259,43.01978131508804
4260,37.863008321823145
4261,37.72506938938386
4262,39.03962335588585
4263,41.50940971994714
4264,37.823836334548105
4265,40.13646447097926
4266,47.1420004146712
4267,50.704718321736436
4268,53.51325982372509
4269,46.33733586987364
4270,50.12562007469751
4271,42.82365787021263
4272,45.51833242433713
4273,47.74183593580892
4274,231.68139176847762
4275,236.73253432517959
4276,235.79581060085548
4277,245.38357180373714
4278,240.422718306123
4279,241.28236298156116
4280,216.75683147955715
4281,195.71807168919622
4282,218.80427329840313
4283,228.2509247721282
4284,220.5565884198404
4285,234.2354547558316
4286,221.20169820229057
4287,207.57064458077366
4288,184.71853501225632
4289,172.9514122028777
4290,198.11496671834902
4291,228.34985970524212
4292,255.252486256064
4293,267.19647375267596
4294,268.3693804716786
4295,259.3610229345577
4296,257.8291048766514
4297,262.3349779538912
4298,264.9319050697268
4299,259.2383859321635
4300,254.94176291777694
4301,250.2710626400003
4302,244.98752036330916
4303,242.4160732844539
4304,240.84927936240638
4305,239.29254611277793
4306,238.19888057836943
4307,236.88050264251797
4308,242.72396257362198
